,name,overall_rating,potential,value,wage,Crossing,Finishing,Heading_Accuracy,Short_Passing,Volleys,Dribbling,Curve,FK_Accuracy,Long_Passing,Ball_Control,Acceleration,Sprint_Speed,Agility,Reactions,Balance,Shot_Power,Jumping,Stamina,Strength,Long_Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Defensive_Awareness,Standing_Tackle,Sliding_Tackle,GK_Diving,GK_Handling,GK_Kicking,GK_Positioning,GK_Reflexes
0,Sergio Leonel Agüero del Castillo,87,87,51000000.0,260000.0,70,93,78,80,85,86,83,73,64,88,75,68,82,89,90,90,78,62,72,83,65,24,91,80,75,91,30,29,24,13,15,6,11,14
1,Franck Bilal Ribéry,76,76,2600000.0,21000.0,70,70,39,84,76,84,80,79,81,85,63,63,69,70,84,73,33,53,55,68,51,33,81,80,78,76,31,25,26,15,6,9,7,10
2,Jefferson Agustín Farfán Guadalupe,71,71,600000.0,550.0,75,73,72,73,69,72,82,75,70,70,72,70,70,72,62,75,73,30,78,70,73,39,70,70,75,72,17,43,29,15,12,5,12,15
3,Dante Bonfim da Costa Santos,78,78,2500000.0,28000.0,58,47,78,77,48,61,51,55,77,77,32,32,43,75,59,62,65,68,85,53,76,79,41,64,60,79,81,79,76,14,8,10,6,13
4,Radamel Falcao García Zárate,76,76,2600000.0,17000.0,55,78,83,76,77,72,78,70,60,77,55,48,71,78,78,75,87,55,69,73,73,41,81,63,81,79,32,42,19,10,13,6,9,5
5,Kevin-Prince Boateng,74,74,1700000.0,19000.0,70,71,71,76,77,78,75,71,75,80,53,43,67,72,70,80,75,44,78,75,77,64,76,75,68,81,58,69,65,6,11,15,16,6
6,Ignacio Monreal Eraso,79,79,5500000.0,24000.0,78,55,72,75,58,73,74,52,70,75,62,68,69,82,69,74,74,69,64,61,77,81,72,71,61,76,77,81,80,7,5,9,3,5
7,Edinson Roberto Cavani Gómez,81,81,11000000.0,37000.0,65,85,85,72,86,70,76,74,52,76,58,63,63,85,57,86,87,58,75,73,81,54,91,73,84,82,45,48,39,12,5,13,13,10
8,Ivan Perišić,83,83,22500000.0,120000.0,85,80,80,79,81,83,78,75,79,82,79,78,76,85,75,84,87,82,76,78,65,73,85,76,76,88,80,73,68,6,7,10,9,6
9,Jean-Eric Maxim Choupo-Moting,76,76,4800000.0,53000.0,65,75,77,75,74,81,74,44,63,79,55,69,73,75,65,78,70,54,81,64,57,40,78,68,65,75,31,36,20,9,9,9,16,6
10,Joshua Christian Kojo King,75,75,5500000.0,58000.0,67,75,68,75,73,78,71,53,65,74,77,78,76,71,73,77,71,64,80,74,71,34,76,73,81,77,33,39,27,12,9,11,12,7
11,Daniel Nii Tackie Mensah Welbeck,75,75,4800000.0,58000.0,69,76,77,66,69,76,61,62,64,78,67,73,67,72,61,77,79,54,70,63,75,32,78,70,71,77,43,38,33,9,10,6,12,16
12,Francesco Caputo,76,76,3600000.0,22000.0,50,81,73,70,80,75,58,54,58,76,76,76,84,78,79,75,82,67,67,70,50,14,81,65,78,72,40,20,15,14,7,10,11,11
13,Givanildo Vieira de Souza,80,80,13000000.0,20000.0,75,79,71,78,73,85,78,81,74,77,83,78,70,80,91,94,74,85,89,82,83,48,81,78,78,76,46,41,36,6,10,7,11,12
14,Thiago Alcântara do Nascimento,86,86,55500000.0,180000.0,78,68,54,91,82,89,85,77,89,92,69,55,90,84,90,75,86,75,60,73,80,82,75,88,75,90,68,74,74,6,11,7,9,13
15,Iker Muniain Goñi,84,84,41500000.0,49000.0,81,79,43,85,75,87,84,79,74,87,84,78,91,81,94,73,72,77,49,78,66,45,82,84,64,84,58,55,38,10,5,5,13,12
16,Alex Sandro Lobo Silva,80,80,15500000.0,95000.0,82,55,73,75,68,79,78,56,66,81,71,79,71,77,76,78,78,79,77,72,80,75,69,72,60,78,73,79,77,7,7,9,12,5
17,Alphonse Areola,81,82,20000000.0,64000.0,20,19,14,48,16,15,16,16,55,22,56,54,58,74,58,58,72,38,80,14,26,23,17,59,25,64,13,18,12,85,79,77,78,84
18,James Henry Tavernier,78,78,12000000.0,51000.0,80,69,69,74,70,75,80,77,78,74,79,85,77,73,81,77,75,87,78,75,76,71,74,76,83,77,72,74,72,15,13,8,11,12
19,Callum Wilson,80,80,20500000.0,100000.0,61,84,78,72,71,77,63,45,62,79,78,83,73,81,72,78,70,69,79,68,74,40,84,70,83,80,38,40,27,10,15,8,10,6
20,Stefan de Vrij,84,84,34500000.0,88000.0,49,25,84,75,27,66,45,36,71,73,66,69,61,85,59,65,80,80,79,60,77,87,31,70,41,85,88,87,85,8,10,7,14,13
21,Luis Alberto Romero Alconchel,83,83,35500000.0,74000.0,69,75,49,91,76,82,86,79,89,90,55,54,68,75,83,78,53,68,64,75,29,59,76,92,56,80,58,58,52,6,8,6,12,11
22,Bartosz Bereszyński,73,73,2700000.0,15000.0,67,50,60,68,56,68,60,50,62,70,79,85,73,68,72,64,69,84,68,60,71,67,60,60,50,69,66,69,68,9,8,16,7,15
23,Lewis Dunk,79,79,14500000.0,65000.0,32,42,81,77,24,63,52,69,75,72,34,53,38,82,38,72,73,66,84,67,82,80,30,58,36,79,83,79,77,15,16,9,12,6
24,Timo Horn,75,77,4700000.0,20000.0,19,13,14,30,14,20,12,15,29,22,45,51,50,79,31,44,64,31,67,17,41,22,15,45,21,25,14,13,12,75,75,58,69,78
25,Lucas Rodrigues Moura da Silva,79,79,17000000.0,100000.0,70,75,73,71,70,86,71,68,64,78,89,88,91,79,88,83,93,64,59,73,79,54,76,71,74,79,36,43,44,9,10,14,7,14
26,Nick Powell,71,71,1900000.0,19000.0,64,70,76,70,63,71,72,71,70,74,69,65,71,71,74,73,84,64,70,70,60,45,72,73,70,71,55,54,49,15,13,7,14,12
27,Álvaro Borja Morata Martín,81,81,25500000.0,71000.0,72,83,85,76,79,79,78,50,62,80,80,82,73,80,63,78,86,77,80,72,69,24,83,77,75,78,37,14,20,4,5,4,4,5
28,Gerard Deulofeu Lázaro,81,81,26500000.0,28000.0,74,80,40,81,75,87,80,77,66,84,90,90,92,78,89,80,34,75,67,80,59,25,79,76,77,77,34,30,22,12,16,14,11,11
29,Jesé Rodríguez Ruiz,72,72,2300000.0,12000.0,62,72,56,74,65,73,73,66,65,74,77,73,74,64,74,75,77,78,73,66,38,33,74,70,72,73,17,23,12,13,7,6,13,15
30,Viktor Gorridsen Fischer,71,71,1900000.0,14000.0,74,66,44,71,67,75,71,70,68,72,69,69,76,68,73,66,57,55,62,66,64,31,69,72,62,67,37,35,25,13,14,6,14,15
31,Riyad Mahrez,85,85,44500000.0,200000.0,80,80,56,83,76,89,85,79,75,90,84,77,91,83,88,82,56,75,57,82,48,39,84,83,74,79,45,31,22,15,9,13,11,6
32,Maurits Kjaergaard,68,84,3100000.0,6000.0,68,67,59,69,66,68,70,64,66,72,69,78,74,67,58,69,61,73,72,67,70,62,68,67,62,64,51,62,60,9,6,11,12,8
33,Marko Bulat,69,83,3300000.0,500.0,79,58,61,75,64,68,68,75,75,75,69,68,74,60,76,78,66,75,67,70,68,58,54,71,68,78,59,62,57,13,9,14,10,9
34,Luke Mbete,63,82,1100000.0,5000.0,36,27,62,62,29,56,39,28,55,60,67,73,58,58,56,49,68,67,76,24,70,59,30,38,43,57,61,64,58,6,14,10,9,7
35,Mohamed Sankoh,62,81,1000000.0,2000.0,41,67,56,56,57,63,47,38,36,61,76,73,74,55,77,59,65,46,64,56,25,19,64,54,48,55,17,20,13,10,14,11,6,6
36,Boris Tomiak,69,76,2600000.0,5000.0,34,39,69,60,27,28,31,25,53,46,67,68,59,63,47,62,70,73,86,41,65,68,33,32,38,54,70,69,67,7,12,6,6,8
37,Beñat Turrientes Imaz,68,80,2900000.0,9000.0,60,43,56,74,43,64,62,71,74,70,69,65,69,66,82,62,60,76,37,54,69,59,62,67,56,68,57,62,65,7,11,7,12,8
38,Jaloliddin Masharipov,72,72,2400000.0,27000.0,71,61,48,68,68,77,76,60,66,76,82,77,82,57,84,64,64,76,48,65,50,30,66,72,64,71,49,38,34,15,5,5,7,5
39,Fabio Blanco Gómez,62,82,1100000.0,8000.0,58,59,34,59,54,68,56,50,50,66,72,74,69,47,71,59,51,55,45,49,39,20,59,52,51,53,28,31,30,15,6,7,10,8
40,Ismaël Gharbi,64,78,1400000.0,6000.0,56,54,35,62,49,74,68,52,57,67,72,64,80,55,87,60,43,33,35,54,51,40,57,64,60,68,37,45,38,7,9,13,15,8
41,Roberto Fernández Jaén,67,78,2300000.0,3000.0,52,69,69,67,57,71,46,46,57,70,73,66,59,60,69,70,78,48,62,67,63,29,61,57,54,67,32,33,35,12,13,5,13,14
42,Fodé Fofana,64,83,1500000.0,2000.0,58,66,59,58,59,63,62,60,54,61,77,81,65,58,58,66,59,55,80,62,50,16,60,59,60,59,19,17,18,13,6,7,13,10
43,Cristhian Mosquera Ibargüen,66,82,2000000.0,2000.0,39,34,70,61,29,42,30,28,59,54,63,60,65,60,67,53,73,65,63,42,66,67,25,52,33,55,66,68,68,8,6,13,8,7
44,Jordan James,62,80,1000000.0,800.0,44,47,50,64,36,67,44,34,62,68,65,64,62,62,75,59,61,62,50,45,63,66,53,60,46,60,66,64,63,15,6,11,8,8
45,Gonçalo Oscar Albuquerque Borges,67,82,2500000.0,3000.0,65,53,33,62,57,70,45,48,53,68,84,83,80,58,58,58,43,55,60,46,42,20,61,65,53,60,21,33,26,8,8,15,11,10
46,Malcolm Ebiowei,65,78,1700000.0,4000.0,65,65,37,59,53,69,61,59,53,69,78,76,74,47,66,56,53,46,57,53,32,32,64,61,62,63,38,41,36,14,11,13,6,9
47,Julián Fernández,68,82,2800000.0,3000.0,62,65,38,64,59,73,50,49,61,71,78,74,79,63,80,70,45,51,53,63,47,29,66,62,49,50,35,35,39,6,9,7,10,11
48,Saël Kumbedi,62,80,950000.0,500.0,55,39,46,59,37,59,53,34,48,61,81,79,77,55,82,50,56,63,56,41,57,55,54,50,37,58,50,61,58,9,6,5,6,11
49,Agustín Giay,66,81,1900000.0,1000.0,54,56,52,71,53,67,45,41,65,69,73,67,70,60,58,63,61,68,56,45,64,64,62,59,52,60,60,65,62,6,14,12,6,10
50,Edoardo Pierozzi,61,72,675000.0,5000.0,51,40,49,55,35,58,46,36,40,61,75,71,67,55,65,41,64,64,56,33,63,58,55,49,45,53,52,58,60,14,11,5,8,5
51,Bassam Al Rawi,68,75,0.0,0.0,49,38,63,65,40,61,72,73,62,65,73,71,74,58,75,63,88,68,74,57,75,62,42,55,45,65,65,71,68,8,8,9,14,9
52,Ibrahim Danlad,68,79,0.0,0.0,14,7,14,26,9,12,10,11,22,18,42,45,33,65,44,45,57,22,62,5,18,13,7,42,16,40,7,14,14,69,65,60,68,71
53,Abakar Loubadhe Sylla,69,83,3100000.0,6000.0,40,19,66,64,22,68,33,28,62,68,76,74,71,68,72,58,78,72,78,25,73,70,34,46,42,72,68,67,66,14,7,15,10,9
54,Leny Yoro,62,82,1000000.0,500.0,47,38,61,63,35,47,37,32,54,60,55,58,49,59,60,51,50,51,70,37,56,64,38,46,40,56,61,64,63,13,7,5,14,14
55,Myron van Brederode,67,82,2400000.0,2000.0,58,52,42,64,47,78,62,43,49,76,84,73,84,61,74,57,55,62,44,48,54,27,58,62,45,62,24,20,23,7,8,15,9,14
56,Facundo Buonanotte,68,83,2800000.0,900.0,54,66,50,69,51,72,59,61,66,70,76,74,66,52,67,60,61,59,51,64,32,23,64,68,55,52,20,22,24,8,9,7,14,9
57,Iker Álvarez de Eulate,63,74,900000.0,3000.0,20,7,10,28,10,8,12,12,26,16,38,29,43,59,40,49,65,35,57,20,18,18,6,57,13,55,6,14,10,62,63,65,63,62
58,Adrian Mazilu,55,75,350000.0,500.0,45,55,47,56,35,56,61,27,38,56,75,77,74,52,62,60,55,54,53,47,35,20,45,32,55,52,21,16,12,8,13,11,7,14
59,Sidi Sané,61,78,850000.0,2000.0,59,58,50,59,52,67,56,58,53,63,67,69,68,58,58,62,60,52,67,47,39,41,55,52,58,54,40,44,42,14,10,9,9,6
