,name,overall_rating,potential,value,wage,Crossing,Finishing,Heading_Accuracy,Short_Passing,Volleys,Dribbling,Curve,FK_Accuracy,Long_Passing,Ball_Control,Acceleration,Sprint_Speed,Agility,Reactions,Balance,Shot_Power,Jumping,Stamina,Strength,Long_Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Defensive_Awareness,Standing_Tackle,Sliding_Tackle,GK_Diving,GK_Handling,GK_Kicking,GK_Positioning,GK_Reflexes
0,Jake Mulraney,67,68,1200000.0,3000.0,66,60,38,58,54,69,55,39,52,66,86,89,78,56,82,67,45,65,37,38,53,45,54,67,55,53,56,53,52,6,10,11,6,11
1,Joe Rodon,74,80,6000000.0,49000.0,34,23,73,73,34,53,34,32,63,64,54,62,47,75,55,61,66,67,79,24,67,80,23,31,40,61,73,74,74,10,13,7,11,8
2,Tim Skarke,71,72,2200000.0,19000.0,64,67,46,64,61,73,63,44,54,72,86,89,83,67,79,74,58,79,48,69,44,43,69,56,47,61,42,49,43,7,14,11,13,8
3,Aleksandr Vyacheslavovich Zhirov,70,70,1100000.0,5000.0,30,26,73,52,29,45,32,29,51,35,54,71,35,66,34,41,65,49,88,24,76,69,29,34,42,68,71,71,66,7,9,8,14,13
4,Anto Grgić,71,74,2500000.0,15000.0,75,66,61,76,53,62,78,73,72,72,63,61,64,66,69,71,67,70,76,70,65,63,72,74,70,69,68,64,58,6,10,11,15,10
5,Matheus Pereira da Silva,69,75,2200000.0,5000.0,59,65,52,70,66,77,73,64,68,75,68,69,80,68,69,58,59,70,58,63,50,67,67,69,61,73,25,50,48,9,13,7,9,10
6,Wanderson Carvalho Oliveira,70,70,1000000.0,5000.0,62,62,53,63,53,70,45,58,55,66,87,90,78,64,78,64,80,74,69,64,67,56,72,64,60,62,52,55,54,12,10,7,10,8
7,Arianit Ferati,66,69,1200000.0,4000.0,70,56,45,68,53,69,73,65,68,69,70,62,77,63,90,61,41,73,61,51,75,49,57,69,62,61,35,56,44,7,12,13,14,11
8,Stephen Peter Humphrys,68,72,1800000.0,5000.0,53,67,68,57,58,65,55,64,44,65,78,76,67,66,67,68,78,77,84,65,64,29,68,56,63,62,31,43,29,14,9,9,10,11
9,Elijah Adebayo,72,77,3600000.0,23000.0,43,74,72,55,63,69,54,46,42,71,69,78,67,71,59,72,71,77,85,66,71,42,74,55,65,64,42,43,34,6,11,9,11,11
10,Adetayo Oluwatosin Olusegun Edun,67,74,1900000.0,11000.0,56,39,56,64,36,62,35,55,62,63,77,69,84,64,83,54,82,82,59,46,74,63,54,58,55,61,62,63,62,12,11,12,12,9
11,Harry McKirdy,66,68,1100000.0,3000.0,59,65,57,59,62,65,61,53,52,63,92,91,90,59,87,63,62,71,34,52,77,32,64,58,56,65,24,32,35,12,9,13,12,8
12,David Morillas Jiménez,65,65,250000.0,2000.0,61,38,60,58,36,54,63,59,59,58,64,66,62,59,55,72,70,76,77,40,73,62,42,45,46,65,67,64,63,7,7,7,13,10
13,Stefan Gartenmann,69,73,1700000.0,11000.0,60,22,64,58,27,52,51,28,57,60,53,66,54,67,63,54,84,76,81,32,67,70,51,57,37,66,68,67,69,12,8,9,14,14
14,Fernando Carlos De Paul Lanciotti,73,73,1600000.0,3000.0,11,15,12,39,13,18,19,12,25,35,37,44,33,72,65,47,67,36,65,12,15,24,14,64,21,66,18,12,14,74,66,63,73,75
