,name,overall_rating,potential,value,wage,Crossing,Finishing,Heading_Accuracy,Short_Passing,Volleys,Dribbling,Curve,FK_Accuracy,Long_Passing,Ball_Control,Acceleration,Sprint_Speed,Agility,Reactions,Balance,Shot_Power,Jumping,Stamina,Strength,Long_Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Defensive_Awareness,Standing_Tackle,Sliding_Tackle,GK_Diving,GK_Handling,GK_Kicking,GK_Positioning,GK_Reflexes
0,Anton Kade,61,75,750000.0,1000.0,56,59,38,57,45,64,57,43,52,65,76,76,71,49,73,49,51,53,39,51,30,19,58,52,50,52,25,25,21,9,15,8,11,8
1,Jannik Zahmel,57,69,400000.0,700.0,51,55,57,61,58,56,51,42,55,56,76,77,73,39,72,65,57,57,52,55,40,16,55,51,58,48,18,21,28,6,13,7,12,13
2,Javier Guerra Moreno,62,78,1000000.0,3000.0,57,49,65,70,37,61,45,41,67,69,58,60,60,56,61,63,65,56,58,59,57,53,56,63,60,49,53,50,54,5,12,13,11,14
3,Dimitrios Keramitsis,62,80,925000.0,500.0,37,18,64,40,30,32,32,30,28,43,55,63,45,53,38,42,70,61,70,25,59,63,30,30,32,44,59,72,63,7,8,11,6,5
4,Niko Koulis,56,63,275000.0,3000.0,35,24,55,45,26,26,30,26,30,40,53,55,49,40,50,33,60,55,70,22,61,55,28,33,33,36,57,60,56,7,7,9,10,8
5,Jorn Berkhout,58,70,450000.0,850.0,35,28,58,52,25,50,36,45,44,49,71,75,77,57,70,44,73,62,47,27,51,59,28,39,47,55,60,64,62,13,9,8,14,6
6,Jan Ciućka,53,66,220000.0,850.0,28,58,47,46,46,62,50,30,37,50,59,54,59,56,63,58,52,51,58,48,32,18,41,50,60,42,14,11,16,6,14,10,7,5
7,中原 輝,65,66,875000.0,2000.0,60,64,41,66,59,65,66,64,64,66,65,59,64,58,85,61,49,66,60,67,50,44,62,67,59,60,42,44,40,7,13,12,8,11
8,岡澤 昂星,58,68,400000.0,500.0,49,45,49,59,30,53,35,37,58,55,59,57,62,55,72,50,58,59,42,40,58,54,31,57,35,45,59,61,59,9,8,10,11,14
9,Özkan Yiğiter,59,69,475000.0,2000.0,52,39,56,66,39,59,50,48,58,63,63,60,55,55,49,65,66,53,70,43,72,51,48,46,45,45,52,58,55,13,11,8,8,15
10,Mika Baur,62,76,900000.0,500.0,57,56,48,63,49,66,50,36,56,65,67,65,72,48,76,53,57,54,56,48,48,44,57,60,42,42,36,46,39,13,9,10,13,12
11,Anas Nanah,57,76,400000.0,550.0,52,31,48,46,39,58,37,32,48,49,68,68,71,54,66,45,62,52,57,40,58,53,49,37,50,52,60,60,56,12,5,6,7,5
12,Amourricho van Axel Dongen,64,84,1600000.0,800.0,62,60,39,53,54,67,62,49,52,63,82,81,73,57,75,60,46,59,65,56,48,26,62,64,58,62,29,28,27,11,9,12,12,14
13,Dawid Olejarka,61,74,775000.0,550.0,61,56,34,62,48,63,57,47,59,64,69,62,76,57,70,64,53,62,44,55,44,28,57,60,49,58,35,32,34,11,14,10,10,7
14,Tomas Kalinauskas,55,64,275000.0,5000.0,52,49,46,57,47,53,49,40,55,56,68,68,66,52,70,48,56,44,48,52,45,28,50,54,48,57,40,46,54,6,14,6,9,9
15,Abel William Stensrud,59,73,550000.0,800.0,30,61,56,52,51,56,33,31,28,57,68,68,66,57,67,58,64,58,60,51,50,18,59,46,58,46,19,13,12,15,15,10,6,10
16,Ibrahima Cissokho,54,70,275000.0,500.0,40,50,36,58,41,53,46,40,56,55,75,73,76,36,77,53,45,52,33,42,34,29,46,55,45,55,40,43,42,14,6,10,11,6
17,Daniel Polanco,67,75,2100000.0,650.0,29,25,68,69,24,22,22,22,52,59,55,55,48,66,65,35,74,65,70,16,63,64,25,29,35,63,70,70,65,9,9,6,10,12
18,Sandi Ogrinec,68,72,1700000.0,5000.0,53,58,56,73,49,70,51,48,74,68,70,69,66,69,72,59,67,73,62,57,62,51,66,67,49,51,38,44,56,9,14,10,8,9
19,Leonardo Gubinelli,62,69,750000.0,500.0,55,45,57,62,35,57,40,37,55,58,58,63,58,57,67,53,68,68,70,42,60,63,35,53,48,55,63,63,61,12,6,13,7,6
20,João Miguel Teixeira Mendes,61,72,700000.0,2000.0,57,33,43,59,43,58,51,46,52,60,78,77,79,56,69,50,59,61,60,40,57,57,51,51,50,54,53,57,59,15,13,13,8,10
21,Noah Lewis,61,67,450000.0,1000.0,27,23,62,46,28,30,31,33,36,38,59,61,48,50,40,47,66,61,82,30,51,59,30,33,38,48,60,68,63,13,10,13,9,11
22,Iverson Contreras,61,71,650000.0,500.0,62,44,55,57,55,61,58,50,55,55,67,67,65,58,66,48,67,62,58,45,55,56,50,48,50,45,52,59,58,13,11,15,14,8
23,Samuel Tel,58,65,375000.0,800.0,43,32,53,41,25,58,34,30,37,46,69,64,52,53,64,31,59,61,56,36,53,58,52,42,44,39,55,65,62,10,11,7,14,14
24,Wilson Ramírez,58,70,400000.0,500.0,13,9,13,16,9,9,11,11,30,13,22,22,38,55,48,44,65,20,42,8,19,15,9,35,20,33,9,15,11,61,60,58,55,53
25,Jenson Seelt,60,77,600000.0,700.0,33,25,63,56,30,41,33,31,39,52,67,66,45,57,44,43,67,62,70,31,52,56,28,33,38,41,52,64,61,13,10,13,7,5
26,Juan Sebastián Madrid,62,72,800000.0,500.0,26,18,67,60,25,28,29,27,58,55,58,60,55,61,61,33,70,61,61,25,58,60,40,35,36,58,61,63,61,6,9,6,14,11
27,Elio Salazar,60,67,500000.0,500.0,55,55,55,63,55,60,58,57,61,65,63,63,61,55,60,53,57,65,58,58,55,52,58,58,55,55,44,52,50,13,12,9,10,13
28,Cihan Çanak,62,80,1000000.0,500.0,62,54,50,59,52,65,60,52,57,62,82,79,78,49,82,56,53,55,40,44,58,33,52,52,47,52,29,40,33,15,8,7,9,7
