,name,overall_rating,potential,value,wage,Crossing,Finishing,Heading_Accuracy,Short_Passing,Volleys,Dribbling,Curve,FK_Accuracy,Long_Passing,Ball_Control,Acceleration,Sprint_Speed,Agility,Reactions,Balance,Shot_Power,Jumping,Stamina,Strength,Long_Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Defensive_Awareness,Standing_Tackle,Sliding_Tackle,GK_Diving,GK_Handling,GK_Kicking,GK_Positioning,GK_Reflexes
0,Andréas Hountondji,62,77,950000.0,900.0,54,61,61,58,45,63,44,42,46,65,69,72,60,59,77,62,64,65,63,52,33,10,62,56,56,56,16,16,15,15,14,8,10,6
1,Arturo Adolfo Palma Cisneros,57,69,400000.0,1000.0,58,55,47,62,48,62,50,46,51,58,66,68,50,39,75,58,34,34,33,40,28,21,51,51,62,47,30,29,33,13,10,12,13,14
2,Julián Eseiza,60,71,525000.0,2000.0,54,33,50,51,35,57,39,31,48,47,67,55,59,58,56,32,62,63,64,28,63,60,40,45,49,46,59,63,64,14,11,7,12,11
3,Aaron Facundo Quiroz,64,77,1300000.0,2000.0,58,21,57,59,21,44,50,35,57,56,62,62,41,60,74,41,78,61,51,32,61,62,43,25,43,45,64,64,69,12,6,10,7,7
4,Moïse Sahi Dion,68,79,2700000.0,8000.0,54,72,58,64,71,72,57,52,49,69,70,70,64,59,69,69,67,57,68,68,30,23,69,60,70,64,24,27,20,7,8,13,9,14
5,José Manuel Bica Reis,59,79,600000.0,1000.0,53,65,57,55,48,65,74,45,39,66,63,66,67,56,72,53,61,49,41,57,38,21,54,53,61,49,16,18,16,11,14,9,15,6
6,Matthias Gragger,58,69,425000.0,1000.0,52,37,56,52,36,52,35,33,47,57,68,67,69,48,67,45,68,56,77,39,63,53,42,43,33,39,50,57,58,12,11,5,5,14
7,Enric Llansana Beuse,65,74,1500000.0,2000.0,53,39,65,69,39,63,49,43,68,66,50,60,59,58,55,59,59,76,60,41,57,59,49,66,48,69,64,63,64,9,12,5,6,9
8,César Fernando Simões Sousa,60,70,550000.0,950.0,50,52,49,55,50,69,57,46,55,67,75,69,58,54,73,52,56,48,57,49,46,29,46,64,51,58,47,38,43,10,9,5,7,14
9,Marco Claude Giagnorio,54,65,200000.0,500.0,15,9,12,28,7,12,15,12,26,14,39,40,45,40,48,37,59,27,39,8,16,9,8,24,14,25,9,13,11,54,58,49,51,57
10,Bartłomiej Kręcichwost,55,63,275000.0,750.0,33,57,57,47,44,57,42,29,34,49,71,72,56,53,65,42,52,53,73,47,42,14,55,44,59,50,11,32,16,13,7,11,12,7
11,Samuel Stückler,61,68,675000.0,3000.0,56,59,41,57,49,60,52,51,55,62,73,72,71,56,70,59,79,67,62,57,60,49,54,54,44,55,46,54,49,11,6,11,8,6
12,Erick Alejandro Ávalos Alejo,58,68,425000.0,5000.0,47,45,59,53,40,50,55,40,50,58,64,64,58,58,79,55,57,55,66,37,61,54,44,40,51,49,54,59,58,5,11,11,8,14
13,Abdülkadir Sünger,57,65,300000.0,2000.0,12,7,14,25,9,12,10,14,28,16,40,35,28,46,38,45,49,22,41,8,21,10,8,28,10,29,5,11,10,60,48,60,55,63
14,Mamady Alex Bangré,60,75,600000.0,2000.0,60,45,48,64,40,66,48,66,59,62,65,64,65,58,80,56,61,56,38,42,55,51,60,57,53,50,36,46,49,6,7,15,11,6
15,Joel Bradley-Walsh,48,61,110000.0,500.0,33,22,48,30,24,22,47,38,22,27,44,41,48,40,50,44,58,46,61,44,56,46,21,26,33,41,50,50,47,11,5,5,10,12
16,Ronan Gallagher,47,61,110000.0,500.0,33,33,44,51,34,40,31,30,48,44,63,66,54,49,58,43,50,48,44,36,47,32,49,47,32,43,37,31,29,14,10,7,13,8
17,Walter Antonio Castillo Salazar,58,64,325000.0,3000.0,33,70,66,49,46,56,41,40,38,52,51,51,51,55,93,59,67,55,33,66,28,12,60,52,71,53,17,15,16,5,6,14,12,13
18,Richard Martín González Lamas,60,61,250000.0,500.0,33,35,69,42,24,35,24,27,34,45,53,63,45,49,43,37,77,53,69,26,81,52,37,28,35,42,51,67,56,12,14,6,7,14
19,Carlos Alejandro Medina Castillo,62,72,800000.0,500.0,44,45,70,51,44,30,35,33,41,60,55,63,45,50,45,35,71,65,70,23,55,55,44,55,45,55,60,67,65,10,8,10,8,13
20,Franklin Sergio Clavijo Clavijo,59,71,525000.0,500.0,45,55,45,59,39,57,40,51,57,55,60,60,55,62,63,56,57,58,50,55,56,60,62,65,55,47,44,60,54,10,6,13,6,7
21,Jimmy Maguin Pérez Rodríguez,60,70,550000.0,500.0,42,55,45,60,45,65,52,45,58,61,63,61,57,60,65,55,58,65,50,50,55,60,65,60,61,45,60,60,55,10,15,13,8,12
22,Gustavo Javier Iturra Matus,60,69,550000.0,600.0,51,50,51,64,29,63,31,34,61,60,65,64,63,54,67,51,58,67,63,53,56,50,58,58,37,56,48,58,56,6,6,5,9,7
23,Ole Hoch,57,67,325000.0,500.0,48,41,52,59,43,57,49,40,56,58,72,57,79,56,75,60,62,63,50,53,58,53,45,53,35,54,50,57,57,12,6,15,14,7
24,Jack Moylan,60,67,500000.0,500.0,53,58,52,57,51,62,57,56,54,59,71,68,68,60,62,64,54,65,62,60,59,44,58,58,54,56,40,51,48,11,7,14,14,10
25,Carlos Alfredo González Graterol,58,64,275000.0,500.0,15,10,12,19,6,11,15,15,27,15,25,32,30,60,44,41,55,29,45,10,17,11,11,35,20,37,7,11,14,60,57,55,56,55
26,Gabriel Fabricio Chocobar,60,68,525000.0,500.0,22,16,61,53,29,55,23,27,33,43,55,52,42,60,57,38,71,68,68,17,61,56,40,55,32,58,60,63,56,7,13,14,8,10
27,Franco Michael Maya Valiente,55,65,275000.0,500.0,23,17,52,53,24,20,24,22,40,51,63,64,44,54,67,33,72,64,62,24,54,54,33,25,34,37,52,55,58,7,10,9,14,10
28,Boubakar Camara,58,67,450000.0,4000.0,52,53,31,56,56,62,51,36,44,63,73,74,70,46,81,47,42,32,31,42,35,17,48,57,50,51,21,24,22,7,6,9,12,10
29,Aaron Robinson,52,55,100000.0,500.0,47,46,43,54,34,52,43,44,49,54,54,56,50,52,60,53,53,53,59,49,61,46,54,52,37,46,45,49,41,6,12,6,8,8
30,Nawaf Al Saadi,52,62,180000.0,2000.0,43,44,30,51,33,56,46,50,49,56,64,65,71,48,72,44,55,32,36,38,43,27,48,51,45,51,31,25,26,11,12,14,5,11
31,Hiiragi Kumagai,52,70,200000.0,500.0,36,34,52,62,37,51,45,36,51,52,59,65,55,59,77,46,66,47,44,31,64,53,32,59,48,49,48,48,52,9,6,12,12,13
32,Josh Bauer,59,65,325000.0,1000.0,42,17,52,53,34,38,31,21,51,42,61,60,44,59,47,41,67,62,72,16,54,57,31,31,33,52,57,63,59,13,13,9,9,12
33,Patrick Yazbek,63,75,1100000.0,1000.0,55,46,59,65,41,57,45,45,63,63,60,64,54,55,73,51,64,69,67,47,57,60,57,60,51,61,58,62,60,9,14,11,14,14
34,Conan Noonan,50,64,110000.0,500.0,32,54,51,35,36,51,38,28,34,52,62,64,60,53,55,44,65,52,49,44,34,11,48,44,56,47,15,14,17,12,10,9,6,11
35,Paulo Afonso da Rocha Júnior,64,68,850000.0,500.0,61,58,43,57,66,78,78,65,58,59,81,76,76,44,71,58,49,60,32,81,26,35,56,56,61,54,28,26,33,14,14,11,15,11
36,Rayan Darwish Albloushi,53,65,230000.0,4000.0,36,56,50,46,41,52,39,36,38,53,71,73,60,48,74,47,63,58,61,49,44,21,52,49,57,48,19,18,20,10,11,10,12,13
37,Kuku Emmanuel Fidelis,60,67,500000.0,1000.0,45,70,57,55,65,71,58,41,50,60,65,69,56,60,69,69,56,55,56,63,29,20,50,51,69,54,20,21,16,9,15,14,6,5
38,Diego Calcaterra,64,74,1200000.0,2000.0,36,28,59,54,31,46,36,32,51,55,51,60,48,55,47,45,60,61,76,31,63,62,26,37,37,51,64,68,66,6,13,9,12,6
39,Juan Guasone,66,77,1800000.0,3000.0,33,18,67,44,25,33,26,27,33,48,56,58,36,66,35,42,56,66,86,23,62,66,28,26,30,56,64,70,65,5,8,15,14,11
40,柏杨,52,55,100000.0,2000.0,25,20,47,34,30,25,26,29,33,35,54,61,45,46,48,38,60,53,71,24,51,50,26,30,31,33,53,52,51,6,11,14,13,5
41,江文豪,48,58,100000.0,2000.0,39,38,33,41,30,47,39,34,40,45,67,68,56,51,64,33,53,61,48,41,52,48,40,43,32,35,50,49,47,7,6,14,12,14
42,李博希,49,56,100000.0,2000.0,35,50,48,38,42,45,35,33,35,46,61,55,58,50,54,50,60,54,67,46,38,12,45,46,54,43,19,12,15,10,13,9,7,10
43,阮奇龙,51,61,120000.0,2000.0,26,24,46,33,30,23,25,26,28,33,60,60,49,47,61,34,70,64,56,20,44,51,28,34,33,36,52,56,53,13,9,12,13,8
44,谢龙飞,49,56,90000.0,2000.0,40,37,40,52,35,53,45,46,56,56,69,74,64,56,75,52,53,46,46,39,45,29,41,44,51,56,39,38,43,12,6,9,7,12
45,高健,49,59,100000.0,2000.0,32,48,49,33,36,49,35,30,29,46,66,68,60,53,60,45,60,42,46,43,32,20,48,46,56,43,15,18,20,12,12,10,14,13
46,陈佳裕,52,52,80000.0,2000.0,43,21,38,30,28,54,26,32,29,31,62,54,50,52,71,29,61,62,49,23,48,52,48,32,31,39,52,61,55,13,9,13,9,7
47,郭瀚儒,52,59,140000.0,1000.0,12,11,12,19,8,12,12,14,14,15,35,21,36,39,21,39,36,23,55,10,28,13,11,25,15,22,11,15,13,55,56,52,48,49
