,name,overall_rating,potential,value,wage,Crossing,Finishing,Heading_Accuracy,Short_Passing,Volleys,Dribbling,Curve,FK_Accuracy,Long_Passing,Ball_Control,Acceleration,Sprint_Speed,Agility,Reactions,Balance,Shot_Power,Jumping,Stamina,Strength,Long_Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Defensive_Awareness,Standing_Tackle,Sliding_Tackle,GK_Diving,GK_Handling,GK_Kicking,GK_Positioning,GK_Reflexes
0,Florian Jaritz,65,68,975000.0,3000.0,66,59,56,66,44,65,59,54,55,67,70,66,62,62,71,65,52,63,57,56,56,60,59,58,49,59,55,60,56,8,7,7,5,12
1,Fabio Markelic,60,69,550000.0,1000.0,47,44,53,65,32,62,55,46,60,65,55,53,54,63,73,62,57,45,43,48,56,57,48,62,42,58,44,59,52,8,9,14,10,8
2,Christopher Cvetko,65,68,950000.0,3000.0,52,50,57,65,42,63,49,45,63,65,65,55,58,68,62,63,63,87,72,57,60,66,53,63,50,59,64,63,56,10,7,13,6,5
3,Patrick Greil,68,71,1600000.0,11000.0,63,60,54,71,52,68,66,65,68,68,67,68,71,68,61,63,51,84,64,65,49,59,63,70,49,66,42,54,49,14,8,10,15,7
4,Florian Freissegger,57,66,350000.0,1000.0,58,28,39,57,25,55,42,30,45,58,64,55,59,57,62,24,62,51,56,31,56,55,42,43,40,48,48,57,55,5,8,6,9,5
5,Kwabe Schulz,57,62,240000.0,2000.0,57,34,57,56,30,52,29,28,44,58,60,53,58,52,48,47,59,52,70,41,65,54,42,38,33,48,51,57,52,11,7,11,15,12
6,Maximiliano Moreira,64,64,525000.0,3000.0,57,32,48,62,34,57,48,43,58,59,78,64,70,58,82,52,76,74,63,44,49,60,49,55,38,57,57,63,61,7,12,9,11,7
7,Ivan Saravanja,63,66,575000.0,2000.0,50,25,60,59,25,45,42,38,48,52,55,54,43,64,56,47,74,55,63,33,65,64,28,43,35,58,63,66,63,9,13,11,7,10
8,Kosmas Gkezos,65,65,600000.0,3000.0,52,39,61,60,29,48,31,45,54,55,49,51,50,61,57,65,71,63,82,47,73,65,32,47,58,60,60,65,61,13,9,13,8,7
9,Jay Idzes,64,70,850000.0,2000.0,51,39,60,66,47,54,44,49,63,60,64,52,53,57,52,65,61,66,75,42,62,63,54,49,47,53,58,66,70,13,6,12,12,12
10,Luuk Brouwers,69,74,1900000.0,6000.0,54,59,54,72,52,64,50,50,69,66,67,55,61,61,66,61,59,80,71,55,69,66,60,61,63,65,63,70,70,13,9,14,14,8
11,Zakaria Eddahchouri,59,68,500000.0,1000.0,52,50,43,62,44,66,56,52,60,69,54,59,64,55,59,68,53,47,62,44,50,34,47,57,61,61,44,38,41,9,10,10,11,14
12,Sam Crowther,60,69,550000.0,1000.0,40,63,70,48,51,56,37,39,42,59,48,50,50,49,39,65,68,62,75,59,58,21,61,43,65,54,23,26,28,13,8,14,14,5
13,Quiermo Dumay,60,67,500000.0,1000.0,52,66,37,58,54,69,53,38,52,66,66,59,61,49,68,63,59,44,56,54,45,29,65,48,56,55,23,37,33,14,13,11,11,9
14,Philippe Rommens,67,70,1400000.0,3000.0,72,55,53,74,40,62,69,66,73,68,67,54,65,64,76,65,63,74,55,63,63,62,58,67,57,57,52,46,51,9,13,11,8,7
15,Felix Bacher,63,72,1000000.0,2000.0,24,30,64,59,28,35,33,27,46,48,59,52,49,55,48,45,74,60,80,32,60,58,29,30,35,44,58,68,63,11,15,12,11,9
16,George Burroughs,55,72,300000.0,2000.0,29,22,57,49,22,30,25,30,37,41,58,62,45,45,46,33,69,58,68,20,50,51,18,30,35,45,51,58,54,12,14,14,10,5
17,Harrison Nee,54,72,275000.0,2000.0,28,61,58,41,36,47,41,31,30,49,79,77,59,42,66,55,61,42,49,41,77,13,50,30,64,45,15,16,11,9,8,13,11,7
18,Andrés Carlos Caro Serrano,64,78,1300000.0,600.0,39,30,64,62,36,34,36,27,61,53,71,72,48,62,61,50,62,55,63,28,58,66,27,50,41,49,64,67,66,12,14,9,11,14
19,Miguel Crespo da Silva,75,78,7500000.0,51000.0,66,60,65,76,57,76,73,64,73,73,70,66,77,76,65,72,67,93,77,66,83,78,68,72,65,74,71,76,73,11,8,8,15,8
20,Loreintz Rosier,70,77,3200000.0,5000.0,58,59,69,71,46,69,53,48,67,69,60,62,51,70,47,65,82,81,80,60,68,65,73,70,53,65,61,74,67,7,12,10,13,9
21,Carles Soria Grau,69,74,2000000.0,3000.0,64,36,60,59,33,55,55,33,50,65,79,79,71,65,82,35,57,72,62,35,60,63,56,35,40,60,64,71,67,6,7,14,12,14
22,Daniel Alexis Leite Figueira,73,80,5000000.0,5000.0,12,8,14,24,8,14,12,14,22,18,26,29,36,73,32,51,40,24,70,8,22,15,9,45,15,36,13,15,11,72,69,68,71,75
23,Eneko Undabarrena Ubillos,64,64,575000.0,2000.0,58,46,63,68,47,64,58,59,66,66,64,63,54,67,57,67,56,50,65,56,77,62,62,64,60,68,57,61,58,14,9,10,13,7
24,Robert Popa,65,78,1500000.0,1000.0,14,5,10,31,7,23,11,11,32,20,36,43,47,52,23,52,30,27,51,6,23,7,8,51,10,23,6,11,13,64,63,69,65,69
25,Roberto Alarcón González,64,64,625000.0,2000.0,62,62,43,62,59,66,67,65,58,65,75,73,66,56,68,69,55,61,63,66,37,28,57,61,66,64,35,37,31,13,7,15,10,6
26,Aitor Córdoba Querejeta,69,72,1600000.0,4000.0,37,29,72,65,33,41,35,34,55,63,57,63,38,67,67,60,77,62,70,24,70,69,41,34,40,60,65,70,68,9,14,6,10,10
27,Sorin Mogoșanu,60,61,190000.0,2000.0,12,5,10,22,5,13,14,12,27,14,43,35,50,46,47,45,61,23,49,9,33,8,4,23,19,29,6,14,12,64,56,60,59,62
28,Miguel Muñoz Mora,67,68,1200000.0,3000.0,59,52,66,71,45,65,50,47,72,66,54,59,57,65,63,66,69,70,80,58,75,67,60,64,54,66,67,68,67,6,9,6,8,13
29,Mohamed Aidara,67,71,1300000.0,2000.0,30,25,73,43,35,33,29,35,35,37,38,53,49,52,52,47,73,60,81,26,80,66,28,32,40,48,67,69,67,6,12,8,12,13
30,Francis Cann,65,68,975000.0,2000.0,59,63,38,55,58,72,54,41,49,66,84,82,64,55,81,67,45,75,38,49,30,20,61,55,65,58,23,33,33,14,5,13,12,8
31,Matheus de Mello Costa,71,73,2000000.0,7000.0,28,29,71,60,38,45,28,27,46,58,78,82,61,67,49,43,80,72,80,30,71,68,28,31,46,67,73,71,66,6,8,8,7,6
32,Francisco Ribeiro Tomé,72,72,2600000.0,6000.0,68,69,61,68,73,77,70,50,62,74,76,75,70,70,83,69,49,70,47,69,45,30,66,71,67,70,28,32,26,8,11,15,6,5
33,Hugues Evrard Zagbayou,67,67,725000.0,2000.0,56,37,58,70,44,59,43,40,66,64,62,68,54,65,86,62,57,79,37,39,73,64,57,56,52,54,63,68,67,10,6,7,15,13
34,Marcelo Machado Vilela,63,70,925000.0,1000.0,55,33,55,67,38,54,43,40,65,63,53,50,59,60,58,59,57,46,71,33,61,62,39,43,47,48,59,65,64,11,15,11,12,8
