,name,overall_rating,potential,value,wage,Crossing,Finishing,Heading_Accuracy,Short_Passing,Volleys,Dribbling,Curve,FK_Accuracy,Long_Passing,Ball_Control,Acceleration,Sprint_Speed,Agility,Reactions,Balance,Shot_Power,Jumping,Stamina,Strength,Long_Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Defensive_Awareness,Standing_Tackle,Sliding_Tackle,GK_Diving,GK_Handling,GK_Kicking,GK_Positioning,GK_Reflexes
0,Luka Modrić,88,88,29000000.0,230000.0,86,72,55,91,76,85,85,78,92,90,76,70,91,88,92,79,67,83,58,82,62,80,78,90,83,92,70,75,72,13,9,7,14,9
1,Diego da Silva Costa,76,76,4800000.0,72000.0,65,79,78,62,80,73,65,59,52,76,65,67,57,73,53,78,69,65,87,70,90,40,77,72,72,83,51,39,30,11,13,12,8,11
2,Willian Borges da Silva,76,76,4700000.0,51000.0,75,73,31,78,59,80,82,82,71,79,77,68,82,75,80,82,32,55,56,78,45,55,77,79,79,83,43,55,50,14,12,13,7,13
3,Ivan Perišić,83,83,22500000.0,120000.0,85,80,80,79,81,83,78,75,79,82,79,78,76,85,75,84,87,82,76,78,65,73,85,76,76,88,80,73,68,6,7,10,9,6
4,Toni Kroos,88,88,72000000.0,310000.0,88,77,58,93,82,80,86,84,93,88,55,52,63,90,71,89,32,75,72,86,60,80,76,89,73,88,71,73,60,10,11,13,7,10
5,Raheem Sterling,85,85,57500000.0,180000.0,78,81,46,81,67,85,79,72,67,83,94,86,94,89,93,78,57,78,65,79,59,30,90,80,70,77,47,53,47,15,12,12,15,9
6,Antonio Rüdiger,87,88,73500000.0,250000.0,68,40,82,80,34,64,50,56,78,72,72,91,56,85,50,77,84,71,90,67,92,84,49,61,40,78,88,87,84,14,15,10,12,8
7,Emre Can,81,81,25500000.0,58000.0,64,75,81,81,71,82,77,64,83,79,67,89,72,81,75,85,87,86,86,81,94,83,74,77,68,80,79,84,84,14,8,8,13,11
8,Sadio Mané,89,89,101000000.0,155000.0,78,85,84,84,75,88,77,64,71,86,91,90,93,91,88,83,87,85,72,78,75,35,90,84,75,84,42,42,38,10,10,15,7,14
9,Kingsley Junior Coman,86,87,80000000.0,105000.0,81,76,61,80,78,88,83,70,74,87,94,90,92,86,84,83,73,69,66,73,35,23,84,81,70,78,29,27,21,5,3,5,3,5
10,Hans Hateboer,80,80,19000000.0,53000.0,79,64,76,75,58,78,57,36,70,78,79,85,68,79,74,72,74,76,75,58,79,74,78,69,47,77,77,78,77,11,6,8,14,15
11,Pablo Carmine Maffeo Becerra,78,83,20000000.0,23000.0,75,53,70,73,21,80,71,34,63,78,85,81,75,72,81,57,59,72,69,52,64,71,67,64,37,62,73,81,77,10,7,14,12,15
12,Daniel Ceballos Fernández,77,80,14000000.0,110000.0,74,65,41,80,62,83,77,67,77,83,64,53,79,75,78,76,50,74,60,72,75,71,72,76,55,80,66,70,69,12,15,16,7,13
13,Federico Bonazzoli,73,77,4300000.0,22000.0,49,75,70,63,75,74,60,53,55,74,71,69,70,72,54,76,60,55,69,68,43,26,76,48,70,66,21,22,29,8,13,10,8,7
14,Nicolò Barella,86,89,89500000.0,110000.0,79,73,53,86,80,80,79,67,85,87,80,78,90,88,90,77,78,94,73,79,84,83,81,86,73,86,79,79,81,11,5,13,14,11
15,Konrad Laimer,83,84,38500000.0,64000.0,78,69,69,83,60,79,70,47,78,80,82,85,76,80,74,72,73,90,69,68,87,86,73,78,54,81,83,80,75,9,12,12,13,12
16,Reece Oxford,76,81,10000000.0,21000.0,34,23,75,67,36,59,44,36,58,63,66,69,62,77,53,49,84,65,81,37,72,78,34,55,48,67,77,80,72,10,11,7,9,14
17,Nicolas Pépé,79,79,18500000.0,83000.0,76,76,57,75,70,85,81,79,66,81,87,88,86,74,75,80,66,66,68,76,43,33,77,74,85,75,36,34,30,11,14,11,6,8
18,Giovani Lo Celso,81,84,33500000.0,100000.0,78,73,62,84,71,85,82,79,83,85,74,69,81,82,80,82,56,75,69,74,82,70,75,85,65,83,64,73,68,10,7,10,15,14
19,Kasper Dolberg Rasmussen,77,81,15500000.0,39000.0,50,79,74,75,77,77,74,70,60,78,67,74,70,75,63,83,73,72,79,78,32,23,77,74,78,76,28,24,19,7,15,13,9,7
20,Leon Bailey Butler,80,82,27500000.0,84000.0,73,78,57,72,73,84,79,79,65,81,93,92,85,78,84,79,76,63,61,77,55,21,79,77,71,75,45,25,18,12,13,6,15,14
21,Axel Tuanzebe,73,77,3900000.0,55000.0,52,26,70,75,41,66,45,37,70,70,74,87,66,73,66,53,74,60,74,34,75,72,52,61,50,77,73,74,72,5,8,5,13,12
22,Milan Škriniar,86,87,68500000.0,105000.0,40,42,81,72,40,67,34,30,73,72,75,81,54,86,56,50,85,81,89,30,87,86,30,46,56,87,91,90,82,10,13,12,8,12
23,Carlos Soler Barragán,83,88,53000000.0,100000.0,77,78,56,85,66,80,80,85,84,81,78,82,76,83,73,77,58,84,71,76,65,74,78,85,86,76,67,79,68,6,14,7,13,11
24,Harvey Lewis Barnes,80,83,29000000.0,77000.0,75,76,46,76,68,80,76,69,69,81,85,86,78,79,79,80,59,74,66,78,53,43,80,77,54,77,44,43,40,6,5,11,8,10
25,Jean-Ricner Bellegarde,75,80,8500000.0,21000.0,64,59,61,77,53,75,57,68,76,76,77,79,82,75,85,69,69,79,68,63,69,70,73,74,55,74,70,74,69,12,15,14,10,9
26,Ghislain Konan,77,79,12000000.0,36000.0,74,45,60,74,58,76,72,32,68,75,77,81,73,76,73,63,70,81,67,51,70,73,71,68,41,74,73,76,72,8,5,5,11,8
27,김민재 金敏在,79,83,22000000.0,49000.0,35,23,76,73,24,57,36,23,67,66,75,84,65,77,65,51,80,77,88,37,82,78,48,57,30,68,80,82,78,13,7,11,14,11
28,Pervis Josué Estupiñán Tenorio,79,83,23500000.0,55000.0,79,48,75,79,38,73,59,36,62,72,78,79,74,74,73,41,72,76,75,42,74,76,52,56,69,65,69,80,79,14,7,14,7,7
29,Callum Hudson-Odoi,78,84,22500000.0,69000.0,77,71,53,76,59,84,73,71,69,81,86,76,84,70,78,67,64,66,58,66,51,44,72,74,55,72,47,51,45,14,13,11,15,5
30,Cheick Oumar Doucouré,78,83,20000000.0,43000.0,54,56,58,79,48,76,59,47,77,79,66,69,72,78,71,59,66,78,77,56,75,78,67,77,52,77,72,80,74,10,14,12,12,15
31,Dwight McNeil,76,81,11500000.0,33000.0,77,66,59,76,57,80,77,74,71,79,73,68,76,75,76,68,68,77,64,66,57,46,73,75,62,76,57,57,48,6,14,14,12,14
32,Armand Laurienté,75,80,8500000.0,25000.0,76,70,45,70,75,79,81,83,65,78,77,78,72,66,88,81,55,61,33,80,47,27,74,73,56,70,28,40,43,13,13,8,14,15
33,이강인 Kang In Lee,76,83,15000000.0,19000.0,73,72,65,79,75,80,77,81,75,78,76,75,82,68,87,76,33,55,59,69,67,29,72,78,70,69,26,23,28,11,12,12,8,14
34,Jordan Teze,77,84,20000000.0,15000.0,60,44,73,73,27,65,42,41,70,67,78,82,70,76,72,60,84,80,82,50,71,78,56,62,36,76,77,78,76,12,5,14,7,10
35,Ignacio Peña Sotorres,72,81,4500000.0,44000.0,10,6,11,33,5,12,12,12,57,21,33,38,49,72,51,57,64,27,54,8,17,6,5,39,17,38,9,10,11,71,67,76,71,72
36,Tanguy Coulibaly,69,80,3100000.0,9000.0,66,68,38,65,59,78,68,41,47,74,81,77,85,50,84,61,53,63,60,36,63,38,66,66,57,56,48,42,37,8,12,5,6,14
37,Domagoj Bradarić,72,78,3500000.0,15000.0,69,53,62,70,46,70,63,38,64,68,78,78,74,69,73,59,59,71,62,55,68,70,69,65,43,69,68,69,70,11,10,13,13,6
38,Miguel Azeez,63,80,1200000.0,1000.0,61,50,55,71,52,67,61,57,70,63,68,66,64,65,64,65,51,60,57,54,49,46,58,61,61,60,42,45,41,14,7,5,14,12
39,Alejandro Francés Torrijo,73,82,6000000.0,5000.0,67,28,72,70,27,58,47,42,66,62,76,72,69,73,71,47,77,73,74,32,74,76,51,58,48,65,74,73,71,14,12,9,6,7
40,Ricky-Jade Jones,63,78,1100000.0,2000.0,49,66,54,55,57,62,61,43,46,56,92,91,82,57,61,63,58,64,64,59,56,28,59,54,59,56,23,25,26,14,7,8,10,8
41,Santiago Simón,74,84,9500000.0,11000.0,72,61,55,73,55,74,69,58,72,75,81,73,79,72,78,65,60,73,70,66,77,65,75,76,58,75,65,71,70,13,15,8,6,11
42,Nathan Kenneth Patterson,69,82,3200000.0,12000.0,63,41,62,65,41,70,56,31,58,69,75,79,72,53,74,62,73,75,68,41,66,65,55,54,35,58,65,69,69,7,13,9,7,8
43,Octavian George Popescu,71,84,4400000.0,7000.0,67,66,40,69,59,74,74,50,67,74,81,82,84,63,78,73,59,76,48,68,58,30,62,70,52,69,27,34,26,15,12,14,11,9
44,Matteo Ruggeri,69,80,2900000.0,10000.0,71,43,65,68,53,68,64,50,63,69,57,65,52,68,57,69,56,64,61,40,67,67,64,51,35,55,66,68,66,11,12,11,14,8
45,Morgan Elliot Rogers,66,79,2000000.0,17000.0,62,65,49,64,56,70,58,47,49,65,69,79,58,59,55,70,45,64,74,63,43,34,62,64,60,60,40,42,39,7,8,13,11,14
46,Quentin Merlin,70,84,3700000.0,9000.0,77,49,50,70,67,78,63,71,65,76,72,68,71,61,80,69,62,74,50,66,55,61,71,64,55,66,63,72,67,11,11,12,10,9
47,Hákon Arnar Haraldsson,68,82,2900000.0,6000.0,60,62,45,68,58,69,65,60,60,70,73,75,85,65,81,63,56,82,55,56,68,56,68,66,54,68,58,55,54,7,14,10,14,6
48,Vinicius de Souza Costa,77,84,20000000.0,16000.0,45,38,73,71,27,66,48,43,72,70,65,68,63,76,40,78,68,80,83,46,80,85,29,64,36,65,73,80,78,14,14,9,13,8
49,Abdoulaye Kamara,60,82,775000.0,800.0,47,39,59,64,44,67,53,40,66,65,66,68,77,59,71,58,64,55,68,34,56,57,49,58,39,59,49,65,62,6,10,10,6,14
50,Vítor Manuel Carvalho Oliveira,76,84,17000000.0,14000.0,58,76,75,66,70,77,55,48,59,74,79,77,72,75,76,81,80,79,80,70,86,36,76,65,65,70,23,29,22,5,8,6,9,15
51,Alfie Devine,61,84,1000000.0,2000.0,46,58,59,68,50,62,56,41,64,58,63,65,56,58,68,65,60,57,51,52,61,46,65,60,52,61,45,54,60,8,7,13,12,13
52,Leandro Morgalla,64,83,1400000.0,500.0,33,39,59,59,26,46,27,29,59,61,74,70,66,59,62,40,71,68,69,30,57,65,32,33,42,54,63,68,66,6,15,12,12,12
53,Ashley Phillips,60,82,725000.0,500.0,38,25,57,65,23,38,31,18,58,43,66,67,59,54,68,34,74,63,70,20,52,62,26,38,33,41,55,63,61,15,9,10,6,7
54,Felix Afena-Gyan,70,80,3500000.0,5000.0,56,71,67,61,61,70,62,61,56,67,88,90,75,64,72,69,68,62,67,70,50,37,68,49,71,64,34,38,34,11,5,6,5,7
55,Saël Kumbedi,62,80,950000.0,500.0,55,39,46,59,37,59,53,34,48,61,81,79,77,55,82,50,56,63,56,41,57,55,54,50,37,58,50,61,58,9,6,5,6,11
56,Lorenzo Lucca,71,82,4200000.0,3000.0,57,69,69,64,62,68,56,66,55,71,55,74,33,68,30,85,40,65,90,67,73,25,72,54,68,67,29,31,18,11,12,10,5,12
57,Almoez Ali,72,75,0.0,0.0,39,76,76,58,74,68,53,49,49,64,68,82,60,66,42,77,81,65,76,69,55,19,71,59,75,62,21,12,18,12,14,15,6,12
