,name,overall_rating,potential,value,wage,Crossing,Finishing,Heading_Accuracy,Short_Passing,Volleys,Dribbling,Curve,FK_Accuracy,Long_Passing,Ball_Control,Acceleration,Sprint_Speed,Agility,Reactions,Balance,Shot_Power,Jumping,Stamina,Strength,Long_Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Defensive_Awareness,Standing_Tackle,Sliding_Tackle,GK_Diving,GK_Handling,GK_Kicking,GK_Positioning,GK_Reflexes
0,Jhon Jairo Sánchez Enríquez,68,76,2700000.0,500.0,66,64,59,67,39,62,51,39,62,69,78,79,75,59,72,48,58,75,62,60,49,54,66,58,49,58,55,59,57,9,11,9,13,13
1,Anthony Rigoberto Landázuri Estacio,65,72,1400000.0,500.0,64,38,56,61,32,43,44,38,49,58,61,77,66,57,59,50,77,70,80,51,51,64,40,39,41,50,66,62,56,6,8,10,12,12
2,Oliver Valaker Edvardsen,67,71,1500000.0,3000.0,60,66,54,57,55,66,60,44,54,65,90,85,87,58,92,59,92,78,70,55,77,50,67,58,50,65,36,48,50,12,6,6,9,12
3,Vítězslav Jaroš,64,75,1100000.0,9000.0,12,11,11,45,14,15,20,19,49,29,39,38,50,56,41,47,70,40,58,13,23,12,14,63,17,58,17,12,13,65,63,62,64,66
4,Thomas Clayton,61,67,475000.0,2000.0,32,28,60,57,31,50,29,37,42,50,62,60,55,59,67,41,75,65,65,29,59,60,29,30,43,56,60,62,60,6,14,8,12,6
5,Femi Azeez,63,74,1100000.0,4000.0,56,58,60,62,41,63,58,46,47,65,79,82,69,55,72,70,74,57,72,64,54,22,60,54,53,56,25,35,33,14,13,6,13,14
6,Ayman Yahya Salem,61,74,800000.0,5000.0,52,56,51,55,45,64,49,51,48,59,82,84,73,55,78,55,58,66,46,51,51,27,56,52,45,49,32,30,21,14,12,5,11,14
7,Malthe Højholt,67,75,2200000.0,4000.0,40,41,46,68,36,64,43,33,64,69,63,64,63,68,71,54,57,74,66,41,66,64,59,62,42,72,65,66,63,10,10,8,6,13
8,Teden Mengi,67,77,2100000.0,19000.0,42,33,67,63,29,57,46,33,63,58,73,83,69,64,53,54,73,61,77,39,66,65,41,53,35,61,64,65,65,11,8,11,5,10
9,Eric Andre Kahl,67,74,1900000.0,4000.0,62,52,53,62,49,61,65,35,61,62,82,82,71,62,79,60,71,71,61,50,69,62,58,63,31,65,62,61,60,10,10,8,10,11
10,Jake Cain,62,72,875000.0,11000.0,54,57,52,64,55,60,57,57,61,64,65,64,71,60,76,56,38,64,54,58,45,57,59,62,52,62,57,61,55,8,7,11,11,11
11,Rahul Kannoly Praveen,56,65,325000.0,500.0,48,55,47,45,49,55,47,36,40,56,88,89,80,42,90,55,69,58,37,44,53,20,52,48,46,42,32,40,42,12,7,6,14,12
12,Kevin Martín Quevedo Mathey,67,70,1300000.0,500.0,68,61,45,65,53,72,54,55,60,62,90,82,71,62,70,68,52,72,58,56,58,39,65,55,60,54,47,38,44,11,12,10,6,7
13,Carlos Antonio Melgar Vargas,70,71,1900000.0,750.0,67,65,57,75,66,70,70,77,70,67,70,71,77,65,82,80,42,69,64,81,45,57,70,70,75,68,55,45,48,5,12,13,10,6
14,Aldair Amarildo Fuentes Siguas,64,65,650000.0,500.0,35,45,57,62,31,50,37,35,60,61,65,54,62,62,30,55,64,73,75,35,75,58,50,51,44,58,64,66,60,12,15,9,15,15
15,Conor Noß,63,74,1100000.0,4000.0,52,57,46,63,48,74,58,49,63,70,75,67,78,55,76,65,65,42,43,52,44,29,49,60,57,61,21,39,32,13,7,6,12,7
16,Gani Nigam,48,54,70000.0,500.0,44,42,31,44,46,43,43,36,41,47,66,69,70,38,79,50,46,51,42,36,39,22,49,43,53,41,18,26,24,10,9,15,7,6
17,Juan Ignacio Ramírez Polero,69,73,2000000.0,500.0,38,73,72,66,66,55,38,45,46,62,67,68,70,70,69,72,80,51,75,63,43,17,69,47,77,52,25,16,17,7,12,13,9,6
18,Edson Armando Rivas Vielma,64,70,925000.0,500.0,38,68,66,59,59,56,35,65,55,60,72,76,70,59,73,57,72,68,70,58,32,11,69,41,65,63,14,12,16,9,5,8,5,6
19,Jeizon Jesús Ramírez Chacón,64,72,1300000.0,500.0,65,60,40,64,48,66,50,42,58,64,69,67,73,62,61,55,54,62,57,48,33,19,60,56,58,64,30,24,31,14,12,11,13,7
20,Ronan Boyce,60,71,525000.0,500.0,52,55,52,51,46,53,35,36,50,53,63,64,62,56,59,48,71,75,65,45,60,54,65,45,36,55,55,55,61,15,6,10,11,9
21,Connor Barron,64,78,1300000.0,1000.0,33,48,51,66,41,58,44,36,62,65,62,72,56,61,77,58,55,78,51,54,66,63,53,53,48,51,54,64,58,14,12,10,14,11
22,Tyler Burey,65,74,1600000.0,3000.0,54,64,63,57,57,66,63,55,49,64,82,79,78,64,63,70,70,67,64,62,69,25,63,55,55,59,33,40,44,10,6,7,7,9
23,Nicholas Gioacchini,67,77,2300000.0,2000.0,57,70,56,65,59,67,52,47,48,69,75,76,61,63,61,64,64,64,69,61,53,26,69,59,66,63,27,19,17,14,7,10,9,9
24,Anderson Andrés Julio Santos,69,70,1600000.0,4000.0,63,67,50,62,57,69,61,54,50,67,82,82,70,68,78,71,51,71,63,60,36,45,68,63,55,66,23,27,31,7,6,11,15,9
25,Emil Nestved Kornvig,63,73,1100000.0,3000.0,61,56,54,66,55,61,55,50,58,65,67,65,62,67,67,65,54,71,63,56,62,59,59,64,45,66,57,60,52,11,12,14,5,12
26,Paolo Alessandro Reyna Lea,71,80,3900000.0,500.0,73,43,59,68,45,38,51,33,51,70,83,83,82,70,81,34,82,81,62,30,55,66,43,65,27,52,68,64,60,6,10,15,9,11
