,name,overall_rating,potential,value,wage,Crossing,Finishing,Heading_Accuracy,Short_Passing,Volleys,Dribbling,Curve,FK_Accuracy,Long_Passing,Ball_Control,Acceleration,Sprint_Speed,Agility,Reactions,Balance,Shot_Power,Jumping,Stamina,Strength,Long_Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Defensive_Awareness,Standing_Tackle,Sliding_Tackle,GK_Diving,GK_Handling,GK_Kicking,GK_Positioning,GK_Reflexes
0,Max Rosenfelder,63,72,975000.0,550.0,25,19,62,63,18,34,23,24,57,39,55,60,56,61,57,28,76,53,62,17,62,63,38,46,28,49,64,65,65,10,10,8,10,11
1,Mohammed Al Kunaydiri,58,66,425000.0,1000.0,54,23,48,53,24,54,35,42,48,55,75,73,59,50,71,29,60,58,60,30,51,52,47,43,39,45,52,55,54,8,14,8,12,10
2,下中 凌我,54,72,240000.0,500.0,10,8,13,21,8,5,11,13,20,12,21,16,32,43,47,37,63,19,48,9,20,11,6,27,19,26,6,10,10,60,48,49,48,62
3,Juan Antonio Ros Martínez,68,73,1600000.0,4000.0,52,45,71,67,39,55,42,39,65,63,69,66,66,63,60,59,81,70,73,42,65,70,44,59,49,50,65,69,68,5,9,10,5,9
4,Evan McLaughlin,55,69,300000.0,500.0,50,46,43,57,42,59,52,54,51,54,67,56,75,44,75,51,37,42,34,51,47,43,55,56,45,55,27,36,38,8,5,14,8,7
5,Michał Oczkowski,56,65,275000.0,550.0,12,9,13,23,10,7,9,14,18,12,41,30,33,37,28,43,33,29,52,10,28,7,8,41,15,24,8,12,11,58,55,57,55,59
6,Anton Krivotsyuk,64,67,725000.0,1000.0,57,34,66,57,28,48,45,41,45,59,80,80,78,61,66,44,47,53,70,32,65,66,28,42,37,62,64,66,63,14,13,13,7,12
7,Marcel Błachewicz,57,69,375000.0,500.0,51,31,43,45,26,50,39,29,39,48,84,81,63,50,42,32,60,66,47,25,52,51,46,41,42,46,48,51,52,12,11,6,12,9
8,Igor Drapiński,55,69,275000.0,500.0,27,23,51,41,30,28,29,33,33,33,55,60,41,49,62,37,74,64,71,26,51,53,29,30,36,38,56,55,56,7,9,15,12,15
9,Max Hutchison,50,60,100000.0,500.0,41,25,40,54,27,43,38,31,51,50,62,59,54,53,69,42,59,49,53,33,53,48,32,48,44,39,40,46,47,14,13,9,14,7
10,Goodman Mosele,68,75,2400000.0,500.0,57,61,69,77,54,61,51,47,75,67,74,76,66,62,78,64,77,69,63,50,68,63,63,70,53,55,62,65,62,7,13,15,11,14
11,Monnapule Saleng,67,73,1600000.0,500.0,63,69,50,53,64,76,50,46,47,71,81,79,66,50,86,78,61,67,58,54,43,33,64,65,61,57,34,43,41,9,10,12,10,10
12,Bandile Shandu,66,66,900000.0,500.0,69,65,57,67,45,63,53,50,67,63,73,76,74,63,77,67,63,70,66,59,70,53,70,64,64,66,45,59,58,7,10,15,9,13
13,Laurent Jacques Mendy,55,69,300000.0,600.0,41,43,49,60,41,56,48,39,54,57,63,62,66,53,61,56,61,54,50,45,54,51,53,53,40,49,47,54,51,13,9,5,7,12
14,Oliver Strunz,61,71,750000.0,4000.0,33,63,67,46,52,52,45,37,28,57,63,70,65,57,64,62,68,67,79,56,63,24,60,51,59,57,28,21,25,12,6,7,12,10
15,Reinaldo Batista Caetano,59,65,350000.0,2000.0,54,55,36,48,45,65,50,39,42,61,86,91,75,42,80,58,41,62,33,38,33,21,47,48,55,45,22,27,28,10,11,11,8,6
16,Valdir Henrique Barbosa da Silva,60,66,400000.0,2000.0,30,63,55,49,53,66,44,32,41,62,82,85,74,55,76,59,56,65,40,53,43,15,59,50,58,52,16,18,19,13,9,8,8,8
17,Philipp Pomer,66,69,1200000.0,3000.0,63,60,52,60,54,65,56,53,56,64,73,77,70,62,73,64,73,74,66,62,61,57,63,63,55,62,57,63,58,6,9,6,9,9
18,Julian Turi,61,70,675000.0,1000.0,29,31,62,53,24,33,31,25,43,48,53,58,45,53,38,49,63,60,84,25,62,56,24,40,38,43,58,63,60,13,12,14,14,14
19,Aaron Cosgrave,58,64,325000.0,2000.0,50,60,46,48,52,60,43,38,40,58,74,78,69,52,63,56,61,67,65,54,56,15,58,58,61,54,16,13,19,6,7,15,9,9
20,Zaki Oualah,58,60,190000.0,1000.0,11,8,14,38,7,15,13,11,30,25,37,39,60,58,60,41,59,40,55,6,44,10,6,43,16,44,6,13,11,56,56,55,57,60
21,Ivan Ćubelić,64,81,1500000.0,500.0,57,56,51,67,42,68,42,69,62,73,61,73,54,57,47,57,48,58,49,61,55,52,56,66,63,54,54,56,52,13,11,12,6,10
22,Lalkhawpuimawia Lalkhawpuimawia,50,50,45000.0,500.0,30,56,54,36,42,45,39,32,35,46,62,64,62,50,78,47,72,64,50,47,32,11,48,45,58,42,19,22,20,13,14,9,6,7
23,Toni Silić,55,76,350000.0,500.0,12,16,13,19,15,13,14,12,22,13,22,22,25,57,37,38,52,21,42,17,21,17,16,49,16,28,16,12,14,60,53,50,48,52
24,Abdul Rabeeh,50,61,110000.0,500.0,49,42,36,45,45,50,48,39,45,48,72,76,74,40,76,50,60,60,38,39,40,42,42,42,44,40,42,46,44,8,12,10,9,6
25,Tomás Romano dos Santos Händel,67,80,2400000.0,2000.0,60,51,47,70,53,70,59,53,62,72,74,68,73,67,72,59,58,69,61,51,60,64,55,63,69,65,67,63,63,6,7,13,14,12
