,name,overall_rating,potential,value,wage,Crossing,Finishing,Heading_Accuracy,Short_Passing,Volleys,Dribbling,Curve,FK_Accuracy,Long_Passing,Ball_Control,Acceleration,Sprint_Speed,Agility,Reactions,Balance,Shot_Power,Jumping,Stamina,Strength,Long_Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Defensive_Awareness,Standing_Tackle,Sliding_Tackle,GK_Diving,GK_Handling,GK_Kicking,GK_Positioning,GK_Reflexes
0,David Douděra,72,77,3300000.0,750.0,72,68,58,67,54,69,52,48,63,70,88,88,84,68,74,63,64,77,52,57,71,66,73,57,45,56,62,67,69,15,15,8,11,9
1,Juan José Mina,64,78,1300000.0,500.0,64,41,57,58,35,55,44,37,50,50,75,76,72,57,66,38,69,80,63,36,52,59,46,35,44,44,62,59,56,14,8,9,8,7
2,Sébastien Thill,70,70,1600000.0,9000.0,58,66,53,74,70,71,66,68,66,72,66,67,76,69,76,67,73,76,57,71,39,39,59,73,69,67,36,34,38,12,5,5,11,12
3,Irvyn Lomami,65,78,1600000.0,4000.0,61,35,56,62,34,59,57,41,57,61,77,78,79,59,81,55,66,61,61,39,58,62,53,51,50,55,61,64,63,5,8,14,11,11
4,Sebastián Parra,57,69,inf,500.0,51,42,39,64,39,64,41,44,62,51,68,68,64,53,65,44,59,55,42,40,49,42,51,67,49,63,34,55,51,8,8,12,13,10
5,Antonio Mršić,66,66,inf,3000.0,64,59,51,73,54,66,61,71,73,69,66,69,58,67,51,79,52,53,73,72,47,51,53,68,71,67,58,61,53,6,6,7,5,5
6,Novatus Miroshi Dismas,63,76,1100000.0,2000.0,49,31,61,62,28,62,36,32,55,64,72,73,63,56,58,60,72,74,72,38,77,59,56,57,33,46,60,59,57,11,9,10,7,13
7,Bertram Kvist,55,73,inf,500.0,42,50,38,52,44,58,50,41,48,60,69,69,64,54,82,53,54,51,40,43,55,27,45,57,45,54,37,37,39,10,5,6,10,13
8,Patrick Scheder,55,68,inf,500.0,51,52,59,59,39,52,37,45,54,60,67,63,54,49,51,56,55,59,58,48,49,52,51,48,59,49,42,46,49,15,10,13,9,12
9,Mehdi Loune,59,78,inf,1000.0,55,52,38,65,55,67,61,56,62,62,70,55,71,59,78,56,49,54,34,54,44,36,56,61,51,53,45,46,45,9,13,14,8,15
10,Aaron Zehnter,60,81,inf,500.0,61,34,54,58,28,60,63,42,52,57,60,63,65,54,65,33,55,55,55,42,57,58,48,40,47,45,54,60,58,12,14,12,10,15
11,Ervin Omić,62,75,inf,2000.0,47,37,61,65,39,55,52,51,63,65,61,66,57,47,56,56,60,65,69,46,62,57,41,58,42,63,59,63,58,8,13,12,7,12
12,Ewerton Paixão da Silva,74,76,5500000.0,1000.0,72,73,36,66,54,79,70,66,56,76,84,80,86,67,85,69,66,62,54,74,57,24,73,72,56,75,25,23,34,9,10,7,6,9
13,Konstantinos Koulierakis,63,78,1000000.0,500.0,39,24,67,65,24,58,45,30,62,64,64,65,44,55,58,64,67,59,62,26,62,60,27,39,39,53,59,69,65,8,8,13,10,11
14,Adel Bettaieb,67,72,1500000.0,6000.0,32,71,64,54,68,67,46,41,37,68,71,76,61,51,57,71,66,64,73,64,29,14,66,41,68,59,17,17,22,13,12,7,12,14
15,Luca Langoni,69,81,3300000.0,5000.0,62,70,44,60,51,72,48,47,50,69,74,73,76,70,79,66,45,74,42,64,62,20,75,55,61,52,27,27,33,13,9,11,8,7
16,Diogo Filipe Pacheco Abreu,67,82,2400000.0,3000.0,60,49,52,76,48,74,64,52,74,74,69,73,62,60,51,67,56,58,72,48,49,30,60,72,64,65,43,57,52,11,8,5,9,10
17,Darko Gyabi,58,80,inf,2000.0,42,36,57,63,45,62,46,41,62,61,65,65,60,57,52,67,59,55,75,41,65,48,50,59,51,58,50,54,53,14,11,12,8,13
18,Mduduzi Shabalala,56,75,inf,500.0,30,63,64,42,53,53,37,33,24,53,51,58,53,53,75,53,71,63,30,52,58,25,62,48,57,46,28,23,28,7,10,10,10,5
19,René Dedič,62,62,inf,500.0,23,63,72,48,58,48,34,42,31,54,57,62,52,56,42,65,63,54,84,52,67,22,66,46,52,52,19,23,24,14,8,7,7,7
20,Michael Ndiweni,58,77,inf,5000.0,38,60,56,49,53,53,45,39,38,54,77,79,70,52,77,60,60,57,49,53,35,20,57,52,60,49,14,21,18,13,10,13,14,6
21,Oskar Wójcik,57,68,inf,500.0,29,22,59,49,28,36,25,31,51,39,60,59,50,49,60,33,71,62,63,24,62,55,30,37,37,42,58,58,57,5,7,6,8,7
22,Yacine El Amri,57,71,inf,500.0,56,47,42,56,45,62,43,47,45,56,68,63,65,56,64,52,43,49,50,37,35,28,52,54,55,53,33,32,27,14,6,12,15,8
23,Badredine Bouanani,65,80,1600000.0,1000.0,61,61,45,68,58,70,65,55,55,66,74,73,72,45,77,65,51,54,46,59,38,26,60,66,59,57,28,34,30,10,7,9,14,15
24,Francesco Donati,64,72,1300000.0,2000.0,57,42,53,64,44,69,51,53,55,53,70,69,67,67,57,41,58,71,61,37,65,54,56,53,49,51,61,64,65,7,8,14,11,9
25,Franco Carboni,63,79,1200000.0,5000.0,58,36,62,60,38,55,62,48,47,57,64,66,52,59,57,48,60,70,62,39,59,57,53,45,41,55,57,60,63,6,14,12,7,12
26,Linus Carlstrand,53,74,inf,500.0,31,58,47,48,40,51,31,34,32,50,66,67,63,48,53,50,52,51,65,48,45,14,54,46,54,45,13,24,18,6,6,11,10,11
27,Paul Lehmann,55,71,inf,500.0,44,40,48,52,29,37,27,25,43,47,47,55,47,52,55,38,74,60,73,26,35,53,33,44,35,49,53,59,54,11,13,14,9,10
28,Maksymilian Pingot,58,73,inf,850.0,28,28,55,54,39,38,35,33,61,55,61,56,44,50,61,44,52,64,73,25,58,57,32,33,44,48,57,59,56,8,14,7,12,5
29,Tiago Carvalho Santos,66,80,1900000.0,1000.0,61,39,37,63,49,68,51,50,65,64,80,78,79,63,70,50,56,70,48,41,51,60,56,59,53,60,63,65,65,10,7,15,7,13
30,Willum Þór Willumsson,65,71,1100000.0,2000.0,65,60,64,71,50,62,59,65,69,64,52,57,62,59,62,67,53,74,77,63,61,47,64,68,50,55,56,55,58,11,10,15,12,9
31,Yehor Yarmoliuk,62,78,1000000.0,3000.0,59,60,41,65,52,66,53,51,63,65,69,64,53,45,67,60,55,60,60,41,50,31,62,68,58,63,44,48,40,9,9,5,9,8
32,Alex Murphy,60,78,inf,3000.0,59,29,58,53,32,49,49,35,49,50,55,54,56,53,59,47,60,58,70,28,66,58,39,43,42,56,57,60,62,13,7,10,11,7
33,Etienne Camara,62,77,inf,2000.0,45,40,57,62,41,60,45,42,56,61,63,64,57,58,53,57,60,66,71,42,64,58,45,55,48,58,61,61,59,12,10,9,8,6
34,Yousef Hassan,65,68,0.0,0.0,13,7,11,26,9,6,11,13,21,12,31,29,33,63,55,44,50,17,52,6,16,8,6,28,14,32,8,10,14,64,62,59,66,65
35,Mateusz Kowalski,56,75,inf,500.0,26,57,65,43,46,52,29,27,30,54,53,63,47,48,41,54,69,62,74,47,49,24,54,49,62,49,26,18,19,9,6,13,14,8
36,Omar Faraj,61,72,inf,2000.0,32,63,56,51,51,60,40,32,34,63,66,67,63,57,61,60,68,53,73,52,52,20,60,50,56,56,16,20,18,15,5,8,6,12
37,Miguel Chaiwa,55,76,inf,850.0,40,29,55,53,30,53,38,40,50,53,76,72,60,65,61,53,70,71,69,32,60,50,40,44,46,46,50,52,49,7,15,9,15,8
38,Aurèle Amenda,56,76,inf,900.0,40,23,60,28,27,31,26,23,24,29,68,60,40,47,33,42,67,61,84,18,65,54,25,29,36,41,51,55,54,12,6,10,13,6
39,Roko Jureskin,68,77,2600000.0,1000.0,62,48,49,69,57,68,58,52,65,65,81,84,81,70,52,55,52,78,61,51,54,59,62,57,50,67,58,61,64,6,8,7,11,11
40,Youssef Chermiti,66,79,2000000.0,2000.0,34,67,70,55,57,65,43,39,48,66,69,72,65,64,47,62,73,60,77,54,57,28,64,47,62,60,25,21,23,7,8,15,6,7
41,Mor Ndiaye,67,77,2200000.0,2000.0,53,49,62,64,38,60,51,40,64,61,64,68,55,64,52,61,65,75,75,59,79,67,59,54,50,59,64,70,65,13,6,14,13,12
42,Nils Arvidsson,54,70,inf,500.0,15,8,9,25,9,10,15,13,26,13,32,30,31,45,50,39,54,15,49,6,25,14,10,30,15,25,10,11,12,55,52,52,53,55
43,Niccolò Pierozzi,62,73,inf,500.0,63,64,41,60,55,66,54,54,50,64,74,72,72,50,70,65,51,70,66,60,55,50,62,63,54,60,60,60,62,11,15,12,10,14
44,Bob van der Hoek,60,64,inf,2000.0,12,7,14,25,8,9,15,11,21,14,26,34,25,58,23,43,32,19,63,7,27,7,7,39,19,36,6,12,11,59,60,57,56,61
45,Abdel Zagré,50,68,inf,1000.0,25,51,67,39,44,40,32,22,31,46,54,51,48,48,53,45,61,56,64,47,47,22,49,42,61,51,25,17,20,12,10,10,5,11
46,Dijon Kameri,66,83,2200000.0,3000.0,58,59,52,65,62,72,67,58,56,71,74,73,75,58,70,73,55,64,65,69,53,42,58,65,53,48,28,41,41,15,14,5,11,10
47,Leandro Frroku,55,73,inf,500.0,48,47,52,64,44,54,46,43,56,58,62,63,52,48,69,52,63,54,52,48,53,51,36,45,42,46,51,51,51,14,6,14,15,10
48,Joseph N'Duquidi,57,79,inf,500.0,52,37,57,61,32,61,58,48,55,60,66,69,63,55,59,60,64,60,59,49,57,51,45,58,54,55,54,58,57,9,10,10,11,11
49,Roman Fernández,60,74,inf,650.0,55,57,40,60,47,63,52,40,54,61,71,69,66,53,72,56,44,47,44,46,42,22,57,52,45,57,35,32,31,9,12,14,14,13
50,Luis Bilbao Arechaga,64,77,1400000.0,3000.0,63,61,42,64,45,67,60,58,56,66,78,75,76,54,67,56,59,51,60,60,34,20,56,53,67,59,16,18,16,6,6,11,10,7
51,Missael Rodríguez,50,63,inf,750.0,29,52,53,44,32,49,35,32,33,48,58,55,59,48,70,46,65,63,56,51,27,11,53,47,59,41,16,10,11,12,7,12,7,15
52,Mohammed Furaih,48,57,inf,2000.0,42,39,28,47,30,52,42,42,43,49,68,63,73,44,85,44,39,47,29,38,42,17,40,44,36,43,18,21,16,11,11,13,15,8
53,Kristall Máni Ingason,60,73,inf,1000.0,57,56,38,64,41,63,60,57,60,64,72,73,80,52,77,48,45,58,38,50,28,48,57,65,55,58,40,44,43,13,14,9,13,15
54,Sidi Sané,61,78,inf,2000.0,59,58,50,59,52,67,56,58,53,63,67,69,68,58,58,62,60,52,67,47,39,41,55,52,58,54,40,44,42,14,10,9,9,6
55,Victor Akinwale,56,76,inf,2000.0,39,61,55,48,48,58,49,38,34,60,69,63,59,55,81,61,63,54,34,57,35,17,50,53,77,55,19,14,17,11,10,8,8,13
56,Omar Megeed,58,78,inf,500.0,53,58,48,53,47,65,52,43,44,64,63,66,48,44,54,54,55,44,61,42,37,24,55,60,49,40,23,28,23,11,9,6,8,11
57,Mamadou Mbaye,68,75,2200000.0,9000.0,53,23,72,70,39,32,50,30,59,64,55,59,40,58,50,50,70,62,70,19,63,65,23,35,32,55,70,73,67,15,12,11,5,5
58,Finley Bell,50,64,inf,500.0,40,40,34,53,36,54,42,42,50,52,76,73,83,46,85,47,67,54,36,41,38,41,44,52,43,49,38,43,37,15,6,8,8,7
59,Owen Bevan,57,72,inf,2000.0,37,28,52,48,33,39,36,32,41,53,66,54,40,52,57,49,73,48,60,28,50,59,24,32,41,57,62,60,57,14,7,15,13,10
