,name,overall_rating,potential,value,wage,Crossing,Finishing,Heading_Accuracy,Short_Passing,Volleys,Dribbling,Curve,FK_Accuracy,Long_Passing,Ball_Control,Acceleration,Sprint_Speed,Agility,Reactions,Balance,Shot_Power,Jumping,Stamina,Strength,Long_Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Defensive_Awareness,Standing_Tackle,Sliding_Tackle,GK_Diving,GK_Handling,GK_Kicking,GK_Positioning,GK_Reflexes
0,Sebastián Parra,57,69,inf,500.0,51,42,39,64,39,64,41,44,62,51,68,68,64,53,65,44,59,55,42,40,49,42,51,67,49,63,34,55,51,8,8,12,13,10
1,Antonio Mršić,66,66,inf,3000.0,64,59,51,73,54,66,61,71,73,69,66,69,58,67,51,79,52,53,73,72,47,51,53,68,71,67,58,61,53,6,6,7,5,5
2,Novatus Miroshi Dismas,63,76,1100000.0,2000.0,49,31,61,62,28,62,36,32,55,64,72,73,63,56,58,60,72,74,72,38,77,59,56,57,33,46,60,59,57,11,9,10,7,13
3,Bertram Kvist,55,73,inf,500.0,42,50,38,52,44,58,50,41,48,60,69,69,64,54,82,53,54,51,40,43,55,27,45,57,45,54,37,37,39,10,5,6,10,13
4,Patrick Scheder,55,68,inf,500.0,51,52,59,59,39,52,37,45,54,60,67,63,54,49,51,56,55,59,58,48,49,52,51,48,59,49,42,46,49,15,10,13,9,12
5,Mehdi Loune,59,78,inf,1000.0,55,52,38,65,55,67,61,56,62,62,70,55,71,59,78,56,49,54,34,54,44,36,56,61,51,53,45,46,45,9,13,14,8,15
6,Ervin Omić,62,75,inf,2000.0,47,37,61,65,39,55,52,51,63,65,61,66,57,47,56,56,60,65,69,46,62,57,41,58,42,63,59,63,58,8,13,12,7,12
7,Ewerton Paixão da Silva,74,76,5500000.0,1000.0,72,73,36,66,54,79,70,66,56,76,84,80,86,67,85,69,66,62,54,74,57,24,73,72,56,75,25,23,34,9,10,7,6,9
8,Konstantinos Koulierakis,63,78,1000000.0,500.0,39,24,67,65,24,58,45,30,62,64,64,65,44,55,58,64,67,59,62,26,62,60,27,39,39,53,59,69,65,8,8,13,10,11
9,Adel Bettaieb,67,72,1500000.0,6000.0,32,71,64,54,68,67,46,41,37,68,71,76,61,51,57,71,66,64,73,64,29,14,66,41,68,59,17,17,22,13,12,7,12,14
10,Luca Langoni,69,81,3300000.0,5000.0,62,70,44,60,51,72,48,47,50,69,74,73,76,70,79,66,45,74,42,64,62,20,75,55,61,52,27,27,33,13,9,11,8,7
11,Ronny Rikal,57,68,inf,1000.0,59,50,41,57,39,62,47,33,49,60,60,70,65,43,56,51,55,47,54,56,34,23,44,57,57,58,30,28,28,6,8,8,7,15
12,Olaf Kobacki,63,73,1100000.0,850.0,58,53,42,62,45,62,45,40,55,69,77,75,65,47,69,60,51,66,60,59,59,43,58,59,55,60,49,40,40,15,11,15,9,6
13,Diogo Filipe Pacheco Abreu,67,82,2400000.0,3000.0,60,49,52,76,48,74,64,52,74,74,69,73,62,60,51,67,56,58,72,48,49,30,60,72,64,65,43,57,52,11,8,5,9,10
14,Darko Gyabi,58,80,inf,2000.0,42,36,57,63,45,62,46,41,62,61,65,65,60,57,52,67,59,55,75,41,65,48,50,59,51,58,50,54,53,14,11,12,8,13
15,Mduduzi Shabalala,56,75,inf,500.0,30,63,64,42,53,53,37,33,24,53,51,58,53,53,75,53,71,63,30,52,58,25,62,48,57,46,28,23,28,7,10,10,10,5
16,Michael Ndiweni,58,77,inf,5000.0,38,60,56,49,53,53,45,39,38,54,77,79,70,52,77,60,60,57,49,53,35,20,57,52,60,49,14,21,18,13,10,13,14,6
17,Oskar Wójcik,57,68,inf,500.0,29,22,59,49,28,36,25,31,51,39,60,59,50,49,60,33,71,62,63,24,62,55,30,37,37,42,58,58,57,5,7,6,8,7
18,Yacine El Amri,57,71,inf,500.0,56,47,42,56,45,62,43,47,45,56,68,63,65,56,64,52,43,49,50,37,35,28,52,54,55,53,33,32,27,14,6,12,15,8
19,Badredine Bouanani,65,80,1600000.0,1000.0,61,61,45,68,58,70,65,55,55,66,74,73,72,45,77,65,51,54,46,59,38,26,60,66,59,57,28,34,30,10,7,9,14,15
