,name,overall_rating,potential,value,wage,Crossing,Finishing,Heading_Accuracy,Short_Passing,Volleys,Dribbling,Curve,FK_Accuracy,Long_Passing,Ball_Control,Acceleration,Sprint_Speed,Agility,Reactions,Balance,Shot_Power,Jumping,Stamina,Strength,Long_Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Defensive_Awareness,Standing_Tackle,Sliding_Tackle,GK_Diving,GK_Handling,GK_Kicking,GK_Positioning,GK_Reflexes
0,Michal Sadílek,75,80,8000000.0,11000.0,69,57,64,75,55,71,68,67,71,73,75,72,75,72,84,66,79,84,74,68,78,73,62,65,62,69,72,73,73,7,15,9,14,15
1,Jordan Teze,77,84,20000000.0,15000.0,60,44,73,73,27,65,42,41,70,67,78,82,70,76,72,60,84,80,82,50,71,78,56,62,36,76,77,78,76,12,5,14,7,10
2,Alexander Hartmann Bah,78,83,20000000.0,12000.0,75,59,71,71,54,74,75,64,62,72,90,93,77,77,70,78,73,86,78,65,83,76,72,75,51,75,68,74,72,6,12,12,9,13
3,Sergio Reguilón Rodríguez,80,83,25500000.0,82000.0,79,53,72,78,43,79,73,43,71,79,83,83,76,77,74,69,64,73,65,58,77,78,76,73,42,74,76,79,76,11,14,9,5,12
4,Christian Joel Sánchez Leal,65,75,1400000.0,2000.0,15,7,15,29,10,11,15,11,31,15,42,36,45,59,34,44,66,27,73,8,26,20,9,49,12,43,10,12,14,66,64,58,65,67
5,Jamie Shackleton,69,75,2200000.0,15000.0,65,49,46,74,38,70,48,38,71,70,81,77,83,72,87,55,60,83,61,44,70,66,64,63,33,72,69,66,59,14,14,11,9,11
6,Doğan Alemdar,72,80,4400000.0,9000.0,14,7,12,16,8,13,10,10,24,16,38,39,35,69,42,52,56,33,65,5,19,6,8,45,10,59,8,11,14,71,70,69,73,71
7,Roberto González Bayón,69,79,3100000.0,8000.0,65,64,49,68,39,71,45,65,62,69,80,79,80,66,83,66,54,56,40,67,51,24,61,66,66,66,20,27,26,13,7,8,12,13
8,Harvey David White,64,78,1300000.0,11000.0,68,65,58,67,50,70,70,74,64,68,67,66,72,64,71,69,56,68,47,64,62,59,58,68,59,64,62,60,56,13,13,12,9,13
9,Malachi Fagan-Walcott,62,79,inf,6000.0,42,21,58,56,28,46,32,36,48,52,60,67,54,59,68,47,71,58,76,27,67,57,33,36,41,46,58,64,57,14,14,11,13,13
10,Cameron Peter Devlin,71,76,2800000.0,5000.0,60,58,51,74,48,69,50,53,68,73,73,68,78,71,86,52,68,90,62,52,86,74,66,66,46,71,70,71,69,14,7,6,12,6
11,Marco Tilio,65,78,1700000.0,2000.0,60,58,46,61,47,65,66,55,50,66,86,81,86,58,87,63,70,64,46,63,58,36,60,63,46,62,34,42,43,12,7,13,14,14
