,name,overall_rating,potential,value,wage,Crossing,Finishing,Heading_Accuracy,Short_Passing,Volleys,Dribbling,Curve,FK_Accuracy,Long_Passing,Ball_Control,Acceleration,Sprint_Speed,Agility,Reactions,Balance,Shot_Power,Jumping,Stamina,Strength,Long_Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Defensive_Awareness,Standing_Tackle,Sliding_Tackle,GK_Diving,GK_Handling,GK_Kicking,GK_Positioning,GK_Reflexes
0,Philipp Lahm,88,88,29500000.0,200000.0,84,47,63,86,66,82,77,59,77,86,68,67,82,91,93,57,72,79,59,65,58,93,69,82,69,94,86,87,95,11,12,5,14,5
1,Bastian Schweinsteiger,75,75,0.0,0.0,70,65,73,78,72,70,82,70,79,79,32,36,53,80,62,73,68,60,75,72,77,71,68,80,74,87,73,71,71,14,14,13,13,11
2,Fabio Quagliarella,76,76,2600000.0,16000.0,66,77,68,77,85,79,78,75,73,81,53,68,71,76,76,83,67,54,71,81,44,26,82,75,85,76,35,21,15,6,7,5,4,4
3,Bojan Krkić Pérez,67,67,1000000.0,4000.0,68,67,42,72,75,69,79,66,68,71,64,57,72,58,84,74,40,55,38,74,27,27,68,68,74,72,27,22,19,5,14,8,14,7
4,Pablo Daniel Osvaldo,72,72,2000000.0,13000.0,56,72,74,67,79,71,71,55,50,75,55,51,67,62,65,80,70,48,76,68,72,26,76,69,80,75,27,25,20,9,9,4,6,4
5,Ángel Fabián Di María Hernández,84,84,20000000.0,160000.0,85,74,51,85,78,88,92,88,80,89,80,79,91,83,75,83,70,74,61,84,73,42,82,89,73,87,41,55,52,10,7,11,12,11
6,Alexis Alejandro Sánchez Sánchez,79,79,11000000.0,48000.0,76,77,59,77,82,84,78,74,77,84,75,69,84,76,88,79,85,66,67,76,64,46,81,82,69,75,38,44,35,10,10,15,12,13
7,Odion Jude Ighalo,77,77,6500000.0,42000.0,66,79,81,70,76,71,64,55,55,76,67,71,65,76,72,81,76,86,85,73,74,32,79,65,73,74,37,45,41,9,11,13,16,8
8,Kieran Trippier,84,84,30500000.0,120000.0,86,54,79,82,58,74,86,87,80,82,74,66,66,83,79,80,78,86,64,71,73,81,76,80,66,78,79,81,81,11,14,8,11,10
9,Guido Marilungo,71,71,2400000.0,20000.0,69,69,57,68,69,74,70,61,52,76,75,80,85,70,88,69,78,66,69,58,73,25,71,60,65,72,59,23,19,14,15,11,12,6
10,Romelu Lukaku Menama,86,86,68000000.0,200000.0,73,88,87,78,79,82,78,66,70,78,72,86,59,86,52,87,74,67,95,75,71,27,86,75,88,82,30,41,30,8,15,14,7,10
11,Mateusz Andrzej Klich,74,74,3300000.0,33000.0,68,72,49,77,60,73,73,65,73,75,67,63,61,72,67,67,64,75,73,73,63,67,72,77,76,78,68,70,60,11,16,12,11,14
12,Jesús Manuel Corona Ruíz,81,81,25500000.0,40000.0,82,61,70,83,74,85,81,67,70,86,83,82,88,81,91,66,71,82,57,66,73,75,82,83,68,86,72,74,72,11,6,10,14,9
13,Xherdan Shaqiri,76,76,7000000.0,9000.0,80,69,45,77,76,78,87,82,76,80,72,67,73,75,90,87,49,50,70,79,61,53,74,80,65,79,35,49,48,13,12,12,11,11
14,Ricardo Iván Rodríguez Araya,74,74,3500000.0,33000.0,76,58,64,75,66,74,80,81,75,78,65,67,64,75,70,78,73,64,74,72,75,77,64,66,80,77,77,76,75,14,13,14,14,11
15,Aaron Frank Mooy,75,75,4600000.0,46000.0,73,67,50,78,66,70,73,71,78,75,67,57,68,72,77,76,72,76,74,77,74,70,70,77,73,80,72,72,69,11,8,12,11,12
16,Grzegorz Krychowiak,78,78,9500000.0,34000.0,63,72,75,78,75,69,54,62,81,78,48,51,34,77,53,81,66,73,81,78,80,76,68,69,78,80,74,76,72,15,14,8,6,7
17,Álvaro Borja Morata Martín,81,81,25500000.0,71000.0,72,83,85,76,79,79,78,50,62,80,80,82,73,80,63,78,86,77,80,72,69,24,83,77,75,78,37,14,20,4,5,4,4,5
18,Geoffrey Edwin Kondogbia,82,82,29500000.0,71000.0,64,69,77,83,62,76,64,66,81,79,68,70,73,84,57,87,79,88,91,83,86,85,80,82,53,83,80,82,80,15,10,10,8,10
19,Damián Emiliano Martínez,84,84,29000000.0,95000.0,22,16,26,50,13,13,22,20,59,35,59,57,49,80,49,62,60,40,70,16,37,13,12,66,42,60,11,20,20,85,83,82,83,85
20,Íñigo Martínez Berridi,82,82,21000000.0,35000.0,53,42,81,75,37,48,72,55,83,74,70,71,67,81,60,81,91,69,82,74,86,83,52,55,39,70,82,82,84,12,16,11,13,11
21,Antonio Rüdiger,87,88,73500000.0,250000.0,68,40,82,80,34,64,50,56,78,72,72,91,56,85,50,77,84,71,90,67,92,84,49,61,40,78,88,87,84,14,15,10,12,8
22,Leandro Daniel Paredes,80,80,21000000.0,86000.0,77,52,56,85,71,81,83,78,85,85,67,67,69,76,75,86,65,75,77,76,87,76,64,86,64,84,78,77,79,9,14,6,9,10
23,Taleb Tawatha,70,70,1600000.0,16000.0,73,39,59,68,34,72,57,32,63,71,73,67,77,67,77,53,70,66,66,27,57,65,54,52,33,61,67,71,71,11,14,9,9,6
24,Nathan Aké,79,81,18500000.0,105000.0,63,48,78,77,52,67,62,59,73,74,80,72,67,77,68,63,89,71,78,56,72,80,51,66,53,76,78,82,79,10,7,7,16,10
25,Fábio Henrique Tavares,86,86,59500000.0,170000.0,75,63,75,84,47,78,71,53,82,81,62,66,63,86,64,81,75,88,81,70,85,86,70,76,90,85,86,87,85,13,12,6,8,8
26,Moussa Dembélé,80,83,28500000.0,73000.0,50,83,84,74,77,74,69,58,50,76,69,75,65,80,62,81,84,74,83,65,75,22,85,69,79,76,39,14,16,7,13,11,10,8
27,Jamie Maclaren,75,75,6000000.0,15000.0,57,78,73,70,65,70,71,67,56,70,83,80,85,75,81,74,91,87,71,68,71,40,82,66,73,76,30,37,31,9,15,11,6,13
28,Kingsley Junior Coman,86,87,80000000.0,105000.0,81,76,61,80,78,88,83,70,74,87,94,90,92,86,84,83,73,69,66,73,35,23,84,81,70,78,29,27,21,5,3,5,3,5
29,Andreas Bødtker Christensen,82,86,37500000.0,145000.0,51,36,80,80,25,67,41,39,73,76,59,76,61,84,60,37,79,68,77,20,75,85,32,62,36,79,85,84,83,10,12,8,6,8
30,Andrej Kramarić,82,82,25500000.0,54000.0,76,79,69,84,79,85,79,78,66,85,75,67,84,84,86,82,72,76,69,80,73,21,82,82,89,81,35,20,26,8,14,14,7,15
31,Léo Dubois,76,76,7000000.0,51000.0,78,51,60,75,68,72,75,56,73,74,68,71,65,75,65,72,73,73,71,55,68,76,69,71,46,76,75,76,75,13,8,8,9,16
32,Doudou Mangni,65,71,inf,8000.0,35,65,61,54,57,66,45,36,43,68,78,87,79,55,79,61,82,72,72,53,29,20,59,49,64,59,14,14,13,7,14,9,7,11
33,Munir El Haddadi Mohamed,79,79,19000000.0,33000.0,73,79,77,80,80,82,81,67,62,83,80,74,83,78,80,78,66,70,64,77,58,25,78,76,66,80,38,27,25,9,12,6,13,16
34,Ollie Watkins,77,80,14000000.0,77000.0,67,81,81,72,64,75,63,56,59,71,77,89,79,77,73,75,92,88,79,71,52,44,79,74,67,66,40,46,36,14,14,14,6,10
35,Leroy Aziz Sané,84,85,49500000.0,90000.0,82,80,72,82,84,86,84,83,70,85,89,89,87,82,81,86,64,70,66,80,63,34,81,81,71,82,36,32,35,8,12,9,9,14
36,Daniel Ceballos Fernández,77,80,14000000.0,110000.0,74,65,41,80,62,83,77,67,77,83,64,53,79,75,78,76,50,74,60,72,75,71,72,76,55,80,66,70,69,12,15,16,7,13
37,Martin Ødegaard,84,89,63500000.0,105000.0,84,75,52,88,76,85,83,85,84,85,78,75,85,74,83,76,46,81,56,77,63,65,79,87,63,78,65,49,51,14,15,15,8,10
38,Karl Brillant Toko Ekambi,77,77,10500000.0,63000.0,73,79,74,74,75,77,75,63,64,76,81,85,76,79,68,81,71,75,73,73,48,21,81,74,74,78,23,14,18,10,12,12,8,14
39,Jackson Gabriel Porozo Vernaza,68,77,2500000.0,5000.0,31,29,69,47,26,29,35,35,27,48,61,63,39,62,42,40,72,64,81,26,68,72,31,28,42,62,68,70,67,8,13,8,15,8
40,Kevin Schade,70,83,3800000.0,11000.0,66,67,67,63,60,72,44,35,38,70,93,94,84,65,78,63,89,56,58,54,41,23,68,61,57,60,17,21,19,13,11,8,9,10
41,Cristian Nicolás Medina,71,81,4099999.9999999995,8000.0,65,60,51,74,49,72,62,52,68,74,71,70,72,69,74,57,57,80,60,59,72,64,67,71,54,69,65,67,62,8,8,12,6,6
42,Alex Scott,69,84,3200000.0,6000.0,66,61,51,72,53,74,66,63,69,70,75,72,84,62,83,63,60,74,60,58,56,57,62,69,52,72,59,63,60,9,10,15,12,8
43,Edoardo Bove,68,82,2900000.0,15000.0,53,67,60,72,43,62,51,46,72,70,59,62,59,67,80,73,63,67,50,64,68,56,70,65,52,68,54,62,64,8,7,7,12,7
44,Stipe Biuk,70,85,3800000.0,500.0,63,66,48,64,46,78,51,57,60,72,77,83,68,67,58,66,59,71,60,51,48,38,68,72,56,59,31,32,33,13,8,11,15,10
45,Raphael Onyedika,73,84,6500000.0,13000.0,51,55,56,73,51,69,56,38,66,71,77,75,67,70,73,57,73,86,75,46,76,74,53,64,48,75,71,70,68,9,5,12,13,11
46,Zidan Sertdemir,62,83,1200000.0,1000.0,49,54,49,68,54,69,62,58,67,71,69,69,71,57,67,58,54,64,52,50,45,32,54,64,61,58,45,56,51,6,8,10,14,11
47,Jeremy Sarmiento,66,80,2100000.0,12000.0,60,62,43,65,52,67,61,55,56,65,83,77,74,55,74,70,34,54,61,54,30,22,64,64,60,68,27,32,30,12,9,13,14,12
48,Tom Bischof,62,83,1200000.0,750.0,49,49,40,66,47,64,61,52,64,65,62,64,75,58,79,55,59,52,44,50,56,31,48,68,54,63,37,49,52,9,13,12,13,6
49,Ismaël Koné,66,80,2100000.0,2000.0,42,55,51,69,34,69,66,44,66,69,74,81,67,66,52,66,58,71,68,68,61,55,60,63,39,70,55,59,49,7,7,13,9,13
50,Linus Gechter,68,82,2600000.0,3000.0,40,26,69,59,37,43,30,35,55,49,61,70,52,63,55,50,70,68,76,28,58,67,28,45,37,58,69,72,68,14,6,8,6,11
51,Arsen Zakharyan,72,86,0.0,0.0,71,68,51,73,67,74,73,74,70,72,73,75,69,71,73,74,58,68,53,69,58,51,69,75,60,70,57,54,44,11,14,12,13,10
52,Giorgio Scalvini,70,85,3500000.0,6000.0,34,23,70,63,34,45,32,22,44,67,55,55,38,72,49,44,71,68,67,28,67,73,28,42,35,69,72,74,72,6,12,12,9,6
53,Matías Soulé,68,85,3100000.0,20000.0,70,58,49,72,69,79,75,73,66,80,77,75,79,48,73,66,59,67,34,72,33,19,44,50,69,48,28,31,29,15,8,11,15,14
54,Charlie Savage,61,79,inf,7000.0,55,37,50,65,36,57,64,52,65,61,61,55,63,63,55,54,55,62,59,48,52,55,54,65,44,66,58,58,54,8,7,15,9,11
55,Walid Cheddira,69,75,2200000.0,3000.0,66,73,61,62,57,63,49,47,58,69,75,79,71,60,52,64,60,69,83,67,55,29,74,66,70,68,41,41,34,5,6,14,10,14
56,Joshua Feeney,57,80,inf,500.0,37,27,54,53,30,32,32,37,35,50,49,50,35,52,52,47,60,46,65,25,51,56,25,37,43,61,56,64,58,11,13,13,5,14
57,Marcus Vincius Oliveira Alencar,73,86,7000000.0,30000.0,71,64,50,69,55,76,67,45,55,77,82,77,77,67,78,61,48,64,54,59,45,33,73,68,56,66,30,32,30,6,6,12,6,12
